RevisionColumn,LFS_EDUlevel,Units,periods,ValueColumn
"r_3","0","1000cp","2003Q1","475.9"
"r_3","1","1000cp","2003Q1","30.1"
"r_3","2","1000cp","2003Q1","184.8"
"r_3","2_1","1000cp","2003Q1","120.5"
"r_3","3","1000cp","2003Q1","178.5"
"r_3","4","1000cp","2003Q1","82.4"
"r_3","0","1000cp","2003Q2","415.7"
"r_3","1","1000cp","2003Q2","24.6"
"r_3","2","1000cp","2003Q2","163.5"
"r_3","2_1","1000cp","2003Q2","110.9"
"r_3","3","1000cp","2003Q2","153.4"
"r_3","4","1000cp","2003Q2","74.2"
"r_3","0","1000cp","2003Q3","403"
"r_3","1","1000cp","2003Q3","24.6"
"r_3","2","1000cp","2003Q3","166"
"r_3","2_1","1000cp","2003Q3","111.3"
"r_3","3","1000cp","2003Q3","146.6"
"r_3","4","1000cp","2003Q3","65.8"
"r_3","0","1000cp","2003Q4","443.4"
"r_3","1","1000cp","2003Q4","26.2"
"r_3","2","1000cp","2003Q4","172.8"
"r_3","2_1","1000cp","2003Q4","120.1"
"r_3","3","1000cp","2003Q4","161.6"
"r_3","4","1000cp","2003Q4","82.9"
"r_3","0","1000cp","2004Q1","453.4"
"r_3","1","1000cp","2004Q1","25.3"
"r_3","2","1000cp","2004Q1","176.5"
"r_3","2_1","1000cp","2004Q1","123.4"
"r_3","3","1000cp","2004Q1","165.3"
"r_3","4","1000cp","2004Q1","86.3"
"r_3","0","1000cp","2004Q2","368.1"
"r_3","1","1000cp","2004Q2","21"
"r_3","2","1000cp","2004Q2","139.6"
"r_3","2_1","1000cp","2004Q2","97.5"
"r_3","3","1000cp","2004Q2","135.3"
"r_3","4","1000cp","2004Q2","72.2"
"r_3","0","1000cp","2004Q3","371.5"
"r_3","1","1000cp","2004Q3","18.6"
"r_3","2","1000cp","2004Q3","142.6"
"r_3","2_1","1000cp","2004Q3","97.6"
"r_3","3","1000cp","2004Q3","137"
"r_3","4","1000cp","2004Q3","73.3"
"r_3","0","1000cp","2004Q4","374.5"
"r_3","1","1000cp","2004Q4","23.2"
"r_3","2","1000cp","2004Q4","140.3"
"r_3","2_1","1000cp","2004Q4","43.8"
"r_3","3","1000cp","2004Q4","141.3"
"r_3","4","1000cp","2004Q4","69.7"
"r_3","0","1000cp","2005Q1","380.6"
"r_3","1","1000cp","2005Q1","21.1"
"r_3","2","1000cp","2005Q1","144"
"r_3","2_1","1000cp","2005Q1","104.7"
"r_3","3","1000cp","2005Q1","138.1"
"r_3","4","1000cp","2005Q1","77.4"
"r_3","0","1000cp","2005Q2","324.3"
"r_3","1","1000cp","2005Q2","15"
"r_3","2","1000cp","2005Q2","124.4"
"r_3","2_1","1000cp","2005Q2","87.8"
"r_3","3","1000cp","2005Q2","122.2"
"r_3","4","1000cp","2005Q2","62.7"
"r_3","0","1000cp","2005Q3","334"
"r_3","1","1000cp","2005Q3","18"
"r_3","2","1000cp","2005Q3","115"
"r_3","2_1","1000cp","2005Q3","74.8"
"r_3","3","1000cp","2005Q3","134.2"
"r_3","4","1000cp","2005Q3","66.8"
"r_3","0","1000cp","2005Q4","335.9"
"r_3","1","1000cp","2005Q4","15.9"
"r_3","2","1000cp","2005Q4","116.9"
"r_3","2_1","1000cp","2005Q4","76.2"
"r_3","3","1000cp","2005Q4","130.7"
"r_3","4","1000cp","2005Q4","72.4"
"r_3","0","1000cp","2006Q1","325"
"r_3","1","1000cp","2006Q1","16.1"
"r_3","2","1000cp","2006Q1","107.1"
"r_3","2_1","1000cp","2006Q1","70.9"
"r_3","3","1000cp","2006Q1","126.9"
"r_3","4","1000cp","2006Q1","74.9"
"r_3","0","1000cp","2006Q2","272.9"
"r_3","1","1000cp","2006Q2","17.6"
"r_3","2","1000cp","2006Q2","91.7"
"r_3","2_1","1000cp","2006Q2","59.5"
"r_3","3","1000cp","2006Q2","109.2"
"r_3","4","1000cp","2006Q2","54.2"
"r_3","0","1000cp","2006Q3","254.7"
"r_3","1","1000cp","2006Q3","18.7"
"r_3","2","1000cp","2006Q3","91.1"
"r_3","2_1","1000cp","2006Q3","55"
"r_3","3","1000cp","2006Q3","95.9"
"r_3","4","1000cp","2006Q3","49"
"r_3","0","1000cp","2006Q4","229.4"
"r_3","1","1000cp","2006Q4","15.2"
"r_3","2","1000cp","2006Q4","89.7"
"r_3","2_1","1000cp","2006Q4","52.9"
"r_3","3","1000cp","2006Q4","91.2"
"r_3","4","1000cp","2006Q4","33.3"
"r_3","0","1000cp","2007Q1","227.4"
"r_3","1","1000cp","2007Q1","12.9"
"r_3","2","1000cp","2007Q1","91.3"
"r_3","2_1","1000cp","2007Q1","54.3"
"r_3","3","1000cp","2007Q1","85.6"
"r_3","4","1000cp","2007Q1","37.5"
"r_3","0","1000cp","2007Q2","208.2"
"r_3","1","1000cp","2007Q2","10.1"
"r_3","2","1000cp","2007Q2","85.3"
"r_3","2_1","1000cp","2007Q2","50.9"
"r_3","3","1000cp","2007Q2","72.5"
"r_3","4","1000cp","2007Q2","40.3"
"r_3","0","1000cp","2007Q3","199.3"
"r_3","1","1000cp","2007Q3","9.6"
"r_3","2","1000cp","2007Q3","82.3"
"r_3","2_1","1000cp","2007Q3","48.2"
"r_3","3","1000cp","2007Q3","69.4"
"r_3","4","1000cp","2007Q3","38.1"
"r_3","0","1000cp","2007Q4","186.5"
"r_3","1","1000cp","2007Q4","11.1"
"r_3","2","1000cp","2007Q4","73.4"
"r_3","2_1","1000cp","2007Q4","41.6"
"r_3","3","1000cp","2007Q4","72.4"
"r_3","4","1000cp","2007Q4","29.6"
"r_3","0","1000cp","2008Q1","155.9"
"r_3","1","1000cp","2008Q1","6.5"
"r_3","2","1000cp","2008Q1","56.5"
"r_3","2_1","1000cp","2008Q1","33.7"
"r_3","3","1000cp","2008Q1","62.1"
"r_3","4","1000cp","2008Q1","30.8"
"r_3","0","1000cp","2008Q2","154.4"
"r_3","1","1000cp","2008Q2","5.6"
"r_3","2","1000cp","2008Q2","58.1"
"r_3","2_1","1000cp","2008Q2","37.7"
"r_3","3","1000cp","2008Q2","59.4"
"r_3","4","1000cp","2008Q2","31.2"
"r_3","0","1000cp","2008Q3","144.5"
"r_3","1","1000cp","2008Q3","(4.8)"
"r_3","2","1000cp","2008Q3","54.6"
"r_3","2_1","1000cp","2008Q3","31.7"
"r_3","3","1000cp","2008Q3","54.1"
"r_3","4","1000cp","2008Q3","31"
"r_3","0","1000cp","2008Q4","152.8"
"r_3","1","1000cp","2008Q4","(4.2)"
"r_3","2","1000cp","2008Q4","59.4"
"r_3","2_1","1000cp","2008Q4","32.5"
"r_3","3","1000cp","2008Q4","61.2"
"r_3","4","1000cp","2008Q4","28"
"r_3","0","1000cp","2009Q1","162.5"
"r_3","1","1000cp","2009Q1","8.7"
"r_3","2","1000cp","2009Q1","65.5"
"r_3","2_1","1000cp","2009Q1","41.8"
"r_3","3","1000cp","2009Q1","60.6"
"r_3","4","1000cp","2009Q1","27.6"
"r_3","0","1000cp","2009Q2","173"
"r_3","1","1000cp","2009Q2","6.5"
"r_3","2","1000cp","2009Q2","64.5"
"r_3","2_1","1000cp","2009Q2","38.8"
"r_3","3","1000cp","2009Q2","67"
"r_3","4","1000cp","2009Q2","34.9"
"r_3","0","1000cp","2009Q3","186.5"
"r_3","1","1000cp","2009Q3","8.5"
"r_3","2","1000cp","2009Q3","69.4"
"r_3","2_1","1000cp","2009Q3","41.2"
"r_3","3","1000cp","2009Q3","72"
"r_3","4","1000cp","2009Q3","36.6"
"r_3","0","1000cp","2009Q4","223.7"
"r_3","1","1000cp","2009Q4","9.6"
"r_3","2","1000cp","2009Q4","90.5"
"r_3","2_1","1000cp","2009Q4","56.1"
"r_3","3","1000cp","2009Q4","83.4"
"r_3","4","1000cp","2009Q4","40.3"
"r_3","0","1000cp","2010Q1","229.3"
"r_3","1","1000cp","2010Q1","10"
"r_3","2","1000cp","2010Q1","102.1"
"r_3","2_1","1000cp","2010Q1","61.6"
"r_3","3","1000cp","2010Q1","85.7"
"r_3","4","1000cp","2010Q1","31.5"
"r_3","0","1000cp","2010Q2","218.2"
"r_3","1","1000cp","2010Q2","7.5"
"r_3","2","1000cp","2010Q2","96.7"
"r_3","2_1","1000cp","2010Q2","55.3"
"r_3","3","1000cp","2010Q2","78.7"
"r_3","4","1000cp","2010Q2","35.3"
"r_3","0","1000cp","2010Q3","220.6"
"r_3","1","1000cp","2010Q3","11.7"
"r_3","2","1000cp","2010Q3","101.9"
"r_3","2_1","1000cp","2010Q3","64"
"r_3","3","1000cp","2010Q3","79.4"
"r_3","4","1000cp","2010Q3","27.7"
"r_3","0","1000cp","2010Q4","223.4"
"r_3","1","1000cp","2010Q4","15.5"
"r_3","2","1000cp","2010Q4","108.4"
"r_3","2_1","1000cp","2010Q4","63.4"
"r_3","3","1000cp","2010Q4","80.8"
"r_3","4","1000cp","2010Q4","18.6"
"r_3","0","1000cp","2011Q1","253.4"
"r_3","1","1000cp","2011Q1","14.7"
"r_3","2","1000cp","2011Q1","126.6"
"r_3","2_1","1000cp","2011Q1","73.7"
"r_3","3","1000cp","2011Q1","81.5"
"r_3","4","1000cp","2011Q1","30.7"
"r_3","0","1000cp","2011Q2","233.4"
"r_3","1","1000cp","2011Q2","10.8"
"r_3","2","1000cp","2011Q2","113.1"
"r_3","2_1","1000cp","2011Q2","65.6"
"r_3","3","1000cp","2011Q2","79.2"
"r_3","4","1000cp","2011Q2","30.4"
"r_3","0","1000cp","2011Q3","229.1"
"r_3","1","1000cp","2011Q3","12.8"
"r_3","2","1000cp","2011Q3","109"
"r_3","2_1","1000cp","2011Q3","60.9"
"r_3","3","1000cp","2011Q3","79.2"
"r_3","4","1000cp","2011Q3","28.1"
"r_3","0","1000cp","2011Q4","224.8"
"r_3","1","1000cp","2011Q4","13"
"r_3","2","1000cp","2011Q4","106.8"
"r_3","2_1","1000cp","2011Q4","64.4"
"r_3","3","1000cp","2011Q4","77.5"
"r_3","4","1000cp","2011Q4","27.3"
"r_3","0","1000cp","2012Q1","247.3"
"r_3","1","1000cp","2012Q1","14.1"
"r_3","2","1000cp","2012Q1","120.1"
"r_3","2_1","1000cp","2012Q1","74.7"
"r_3","3","1000cp","2012Q1","79.7"
"r_3","4","1000cp","2012Q1","33.4"
"r_3","0","1000cp","2012Q2","238.7"
"r_3","1","1000cp","2012Q2","15.2"
"r_3","2","1000cp","2012Q2","105.5"
"r_3","2_1","1000cp","2012Q2","64"
"r_3","3","1000cp","2012Q2","83.2"
"r_3","4","1000cp","2012Q2","34.7"
"r_3","0","1000cp","2012Q3","212.1"
"r_3","1","1000cp","2012Q3","13.5"
"r_3","2","1000cp","2012Q3","98.6"
"r_3","2_1","1000cp","2012Q3","57.3"
"r_3","3","1000cp","2012Q3","68.2"
"r_3","4","1000cp","2012Q3","31.8"
"r_3","0","1000cp","2012Q4","212.6"
"r_3","1","1000cp","2012Q4","14.7"
"r_3","2","1000cp","2012Q4","96.8"
"r_3","2_1","1000cp","2012Q4","58"
"r_3","3","1000cp","2012Q4","69.5"
"r_3","4","1000cp","2012Q4","31.6"
"r_3","0","1000cp","2013Q1","236.7"
"r_3","1","1000cp","2013Q1","19.3"
"r_3","2","1000cp","2013Q1","103"
"r_3","2_1","1000cp","2013Q1","62.4"
"r_3","3","1000cp","2013Q1","77.7"
"r_3","4","1000cp","2013Q1","36.7"
"r_3","0","1000cp","2013Q2","217.8"
"r_3","1","1000cp","2013Q2","16.8"
"r_3","2","1000cp","2013Q2","101.5"
"r_3","2_1","1000cp","2013Q2","62.4"
"r_3","3","1000cp","2013Q2","68"
"r_3","4","1000cp","2013Q2","31.5"
"r_3","0","1000cp","2013Q3","192.2"
"r_3","1","1000cp","2013Q3","15.1"
"r_3","2","1000cp","2013Q3","89.5"
"r_3","2_1","1000cp","2013Q3","53.2"
"r_3","3","1000cp","2013Q3","58.7"
"r_3","4","1000cp","2013Q3","28.9"
"r_3","0","1000cp","2013Q4","192.2"
"r_3","1","1000cp","2013Q4","12.5"
"r_3","2","1000cp","2013Q4","86.2"
"r_3","2_1","1000cp","2013Q4","49.3"
"r_3","3","1000cp","2013Q4","59.9"
"r_3","4","1000cp","2013Q4","33.6"
"r_3","0","1000cp","2014Q1","206.2"
"r_3","1","1000cp","2014Q1","14.9"
"r_3","2","1000cp","2014Q1","91.1"
"r_3","2_1","1000cp","2014Q1","55"
"r_3","3","1000cp","2014Q1","66.4"
"r_3","4","1000cp","2014Q1","33.8"
"r_3","0","1000cp","2014Q2","195.2"
"r_3","1","1000cp","2014Q2","13.6"
"r_3","2","1000cp","2014Q2","85.7"
"r_3","2_1","1000cp","2014Q2","49.1"
"r_3","3","1000cp","2014Q2","63.2"
"r_3","4","1000cp","2014Q2","32.7"
"r_3","0","1000cp","2014Q3","178.5"
"r_3","1","1000cp","2014Q3","11.6"
"r_3","2","1000cp","2014Q3","81.4"
"r_3","2_1","1000cp","2014Q3","46"
"r_3","3","1000cp","2014Q3","52.9"
"r_3","4","1000cp","2014Q3","32.5"
"r_3","0","1000cp","2014Q4","188.5"
"r_3","1","1000cp","2014Q4","14"
"r_3","2","1000cp","2014Q4","84.9"
"r_3","2_1","1000cp","2014Q4","48.9"
"r_3","3","1000cp","2014Q4","60"
"r_3","4","1000cp","2014Q4","29.7"
"r_3","0","1000cp","2015Q1","193.6"
"r_3","1","1000cp","2015Q1","14"
"r_3","2","1000cp","2015Q1","84.3"
"r_3","2_1","1000cp","2015Q1","50.5"
"r_3","3","1000cp","2015Q1","68"
"r_3","4","1000cp","2015Q1","27.3"
"r_3","0","1000cp","2015Q2","169.8"
"r_3","1","1000cp","2015Q2","10.1"
"r_3","2","1000cp","2015Q2","63.7"
"r_3","2_1","1000cp","2015Q2","36.4"
"r_3","3","1000cp","2015Q2","65.8"
"r_3","4","1000cp","2015Q2","30.2"
"r_3","0","1000cp","2015Q3","160.4"
"r_3","1","1000cp","2015Q3","7.9"
"r_3","2","1000cp","2015Q3","68"
"r_3","2_1","1000cp","2015Q3","37.2"
"r_3","3","1000cp","2015Q3","55.4"
"r_3","4","1000cp","2015Q3","29.1"
"r_3","0","1000cp","2015Q4","167.7"
"r_3","1","1000cp","2015Q4","10.3"
"r_3","2","1000cp","2015Q4","74.5"
"r_3","2_1","1000cp","2015Q4","37.1"
"r_3","3","1000cp","2015Q4","58.8"
"r_3","4","1000cp","2015Q4","24.1"
"r_3","0","1000cp","2016Q1","179.3"
"r_3","1","1000cp","2016Q1","8.9"
"r_3","2","1000cp","2016Q1","75.5"
"r_3","2_1","1000cp","2016Q1","36"
"r_3","3","1000cp","2016Q1","71.2"
"r_3","4","1000cp","2016Q1","23.7"
"r_3","0","1000cp","2016Q2","161.1"
"r_3","1","1000cp","2016Q2","9"
"r_3","2","1000cp","2016Q2","63.9"
"r_3","2_1","1000cp","2016Q2","32.4"
"r_3","3","1000cp","2016Q2","61.8"
"r_3","4","1000cp","2016Q2","26.4"
"r_3","0","1000cp","2016Q3","159.3"
"r_3","1","1000cp","2016Q3","8"
"r_3","2","1000cp","2016Q3","66.8"
"r_3","2_1","1000cp","2016Q3","34.6"
"r_3","3","1000cp","2016Q3","55.8"
"r_3","4","1000cp","2016Q3","28.7"
"r_3","0","1000cp","2016Q4","163.5"
"r_3","1","1000cp","2016Q4","8.1"
"r_3","2","1000cp","2016Q4","71.3"
"r_3","2_1","1000cp","2016Q4","39.1"
"r_3","3","1000cp","2016Q4","57.6"
"r_3","4","1000cp","2016Q4","26.6"
"r_3","0","1000cp","2017Q1","134.6"
"r_3","1","1000cp","2017Q1","6"
"r_3","2","1000cp","2017Q1","51.2"
"r_3","2_1","1000cp","2017Q1","28"
"r_3","3","1000cp","2017Q1","48.5"
"r_3","4","1000cp","2017Q1","28.9"
"r_3","0","1000cp","2017Q2","119.6"
"r_3","1","1000cp","2017Q2","(5.4)"
"r_3","2","1000cp","2017Q2","41.2"
"r_3","2_1","1000cp","2017Q2","22"
"r_3","3","1000cp","2017Q2","43.7"
"r_3","4","1000cp","2017Q2","29.3"
"r_3","0","1000cp","2017Q3","107.4"
"r_3","1","1000cp","2017Q3","5.8"
"r_3","2","1000cp","2017Q3","35.9"
"r_3","2_1","1000cp","2017Q3","19.1"
"r_3","3","1000cp","2017Q3","42.2"
"r_3","4","1000cp","2017Q3","23.5"
"r_3","0","1000cp","2017Q4","101.7"
"r_3","1","1000cp","2017Q4","(4.3)"
"r_3","2","1000cp","2017Q4","37.4"
"r_3","2_1","1000cp","2017Q4","21.1"
"r_3","3","1000cp","2017Q4","38.2"
"r_3","4","1000cp","2017Q4","21.7"
"r_3","0","1000cp","2018Q1","95.7"
"r_3","1","1000cp","2018Q1","5.1"
"r_3","2","1000cp","2018Q1","33.5"
"r_3","2_1","1000cp","2018Q1","16.4"
"r_3","3","1000cp","2018Q1","34.1"
"r_3","4","1000cp","2018Q1","22.9"
"r_3","0","1000cp","2018Q2","89.8"
"r_3","1","1000cp","2018Q2","(2.8)"
"r_3","2","1000cp","2018Q2","28.9"
"r_3","2_1","1000cp","2018Q2","13.6"
"r_3","3","1000cp","2018Q2","35.6"
"r_3","4","1000cp","2018Q2","22.6"
"r_3","0","1000cp","2018Q3","82.3"
"r_3","1","1000cp","2018Q3","(2.0)"
"r_3","2","1000cp","2018Q3","25.1"
"r_3","2_1","1000cp","2018Q3","15.6"
"r_3","3","1000cp","2018Q3","37"
"r_3","4","1000cp","2018Q3","18.3"
"r_3","0","1000cp","2018Q4","73.6"
"r_3","1","1000cp","2018Q4","(2.7)"
"r_3","2","1000cp","2018Q4","23.1"
"r_3","2_1","1000cp","2018Q4","13.4"
"r_3","3","1000cp","2018Q4","34.7"
"r_3","4","1000cp","2018Q4","13.1"
"r_3","0","1000cp","2019Q1","65.8"
"r_3","1","1000cp","2019Q1","(2.7)"
"r_3","2","1000cp","2019Q1","17.2"
"r_3","2_1","1000cp","2019Q1","8"
"r_3","3","1000cp","2019Q1","29.4"
"r_3","4","1000cp","2019Q1","16.5"
"r_3","0","1000cp","2019Q2","63.3"
"r_3","1","1000cp","2019Q2","(3.0)"
"r_3","2","1000cp","2019Q2","17.7"
"r_3","2_1","1000cp","2019Q2","9.6"
"r_3","3","1000cp","2019Q2","27.6"
"r_3","4","1000cp","2019Q2","15"
"r_4","0","1000cp","2019Q3","63.3"
"r_4","1","1000cp","2019Q3","(2.1)"
"r_4","2","1000cp","2019Q3","16.8"
"r_4","2_1","1000cp","2019Q3","8.8"
"r_4","3","1000cp","2019Q3","30.7"
"r_4","4","1000cp","2019Q3","13.7"
"r_5","0","1000cp","2019Q4","63"
"r_5","1","1000cp","2019Q4","(2.5)"
"r_5","2","1000cp","2019Q4","19"
"r_5","2_1","1000cp","2019Q4","9.6"
"r_5","3","1000cp","2019Q4","27.8"
"r_5","4","1000cp","2019Q4","13.7"
"r_6","0","1000cp","2020Q1","69.2"
"r_6","1","1000cp","2020Q1","(3.0)"
"r_6","2","1000cp","2020Q1","18.5"
"r_6","2_1","1000cp","2020Q1","10.3"
"r_6","3","1000cp","2020Q1","26.7"
"r_6","4","1000cp","2020Q1","21"
"r_7","0","1000cp","2020Q2","60.5"
"r_7","1","1000cp","2020Q2","(2.5)"
"r_7","2","1000cp","2020Q2","15.9"
"r_7","2_1","1000cp","2020Q2","8.3"
"r_7","3","1000cp","2020Q2","27.6"
"r_7","4","1000cp","2020Q2","14.4"
"r_8","0","1000cp","2020Q3","61.2"
"r_8","1","1000cp","2020Q3","(2.1)"
"r_8","2","1000cp","2020Q3","17.8"
"r_8","2_1","1000cp","2020Q3","7.6"
"r_8","3","1000cp","2020Q3","27.6"
"r_8","4","1000cp","2020Q3","13.7"
"r_9","0","1000cp","2020Q4","64.4"
"r_9","1","1000cp","2020Q4","(2.2)"
"r_9","2","1000cp","2020Q4","22.5"
"r_9","2_1","1000cp","2020Q4","11.9"
"r_9","3","1000cp","2020Q4","24.1"
"r_9","4","1000cp","2020Q4","15.6"
"r_18","0","1000cp","2023Q1","44.9"
"r_18","1","1000cp","2023Q1","(1.2)"
"r_18","2","1000cp","2023Q1","18.4"
"r_18","2_1","1000cp","2023Q1","8.1"
"r_18","3","1000cp","2023Q1","18.4"
"r_18","4","1000cp","2023Q1","6.8"
"r_19","0","1000cp","2023Q2","30.3"
"r_19","1","1000cp","2023Q2","(1.0)"
"r_19","2","1000cp","2023Q2","11.8"
"r_19","2_1","1000cp","2023Q2","7"
"r_19","3","1000cp","2023Q2","12.7"
"r_19","4","1000cp","2023Q2","(4.8)"
"r_20","0","1000cp","2023Q3","37.3"
"r_20","1","1000cp","2023Q3","(1.7)"
"r_20","2","1000cp","2023Q3","15.5"
"r_20","2_1","1000cp","2023Q3","6.8"
"r_20","3","1000cp","2023Q3","13.5"
"r_20","4","1000cp","2023Q3","6.6"
"r_21","0","1000cp","2022Q1","52.5"
"r_21","1","1000cp","2022Q1","(3.5)"
"r_21","2","1000cp","2022Q1","17.4"
"r_21","2_1","1000cp","2022Q1","7.5"
"r_21","3","1000cp","2022Q1","21.9"
"r_21","4","1000cp","2022Q1","9.8"
"r_22","0","1000cp","2022Q2","46.3"
"r_22","1","1000cp","2022Q2","(2.1)"
"r_22","2","1000cp","2022Q2","16.6"
"r_22","2_1","1000cp","2022Q2","7.9"
"r_22","3","1000cp","2022Q2","17.9"
"r_22","4","1000cp","2022Q2","9.7"
"r_23","0","1000cp","2022Q3","48.3"
"r_23","1","1000cp","2022Q3","(1.3)"
"r_23","2","1000cp","2022Q3","17.3"
"r_23","2_1","1000cp","2022Q3","9.2"
"r_23","3","1000cp","2022Q3","20.2"
"r_23","4","1000cp","2022Q3","9.5"
"r_24","0","1000cp","2022Q4","48"
"r_24","1","1000cp","2022Q4","(1.8)"
"r_24","2","1000cp","2022Q4","16.2"
"r_24","2_1","1000cp","2022Q4","6.1"
"r_24","3","1000cp","2022Q4","20.7"
"r_24","4","1000cp","2022Q4","9.3"
"r_25","0","1000cp","2023Q4","40.5"
"r_25","1","1000cp","2023Q4","(1.6)"
"r_25","2","1000cp","2023Q4","14.7"
"r_25","2_1","1000cp","2023Q4","(5.2)"
"r_25","3","1000cp","2023Q4","15.4"
"r_25","4","1000cp","2023Q4","8.8"
"r_26","0","1000cp","2024Q1","32.3"
"r_26","1","1000cp","2024Q1","(1.3)"
"r_26","2","1000cp","2024Q1","10.2"
"r_26","2_1","1000cp","2024Q1","(4.3)"
"r_26","3","1000cp","2024Q1","16.1"
"r_26","4","1000cp","2024Q1","(4.7)"
"r_27","0","1000cp","2021Q1","57.6"
"r_27","1","1000cp","2021Q1","2.5"
"r_27","2","1000cp","2021Q1","17"
"r_27","2_1","1000cp","2021Q1","7.5"
"r_27","3","1000cp","2021Q1","25.6"
"r_27","4","1000cp","2021Q1","12.5"
"r_29","0","1000cp","2021Q3","51.3"
"r_29","1","1000cp","2021Q3","(2.7)"
"r_29","2","1000cp","2021Q3","15.3"
"r_29","2_1","1000cp","2021Q3","7.7"
"r_29","3","1000cp","2021Q3","21.4"
"r_29","4","1000cp","2021Q3","12"
"r_30","0","1000cp","2021Q4","53.6"
"r_30","1","1000cp","2021Q4","(2.4)"
"r_30","2","1000cp","2021Q4","18"
"r_30","2_1","1000cp","2021Q4","8.7"
"r_30","3","1000cp","2021Q4","23"
"r_30","4","1000cp","2021Q4","10.3"
"r_31","0","1000cp","2024Q2","21.8"
"r_31","1","1000cp","2024Q2","(1.7)"
"r_31","2","1000cp","2024Q2","6.2"
"r_31","2_1","1000cp","2024Q2","(4)"
"r_31","3","1000cp","2024Q2","10.3"
"r_31","4","1000cp","2024Q2","(3.6)"
"r_32","0","1000cp","2024Q3","19.8"
"r_32","1","1000cp","2024Q3","(0.8)"
"r_32","2","1000cp","2024Q3","6.5"
"r_32","2_1","1000cp","2024Q3","(4.3)"
"r_32","3","1000cp","2024Q3","8.3"
"r_32","4","1000cp","2024Q3","(4.2)"
"r_33","0","1000cp","2024Q4","22.8"
"r_33","1","1000cp","2024Q4","1.3"
"r_33","2","1000cp","2024Q4","7.5"
"r_33","2_1","1000cp","2024Q4","5.3"
"r_33","3","1000cp","2024Q4","7.4"
"r_33","4","1000cp","2024Q4","6.5"
"r_34","0","1000cp","2025Q1","15.3"
"r_34","1","1000cp","2025Q1","(1.3)"
"r_34","2","1000cp","2025Q1","(3.6)"
"r_34","2_1","1000cp","2025Q1","(3)"
"r_34","3","1000cp","2025Q1","5.9"
"r_34","4","1000cp","2025Q1","(4.4)"
"r_35","0","1000cp","2025Q2","16.1"
"r_35","1","1000cp","2025Q2","0.6"
"r_35","2","1000cp","2025Q2","5.9"
"r_35","2_1","1000cp","2025Q2","(4.3)"
"r_35","3","1000cp","2025Q2","7.1"
"r_35","4","1000cp","2025Q2","(2.5)"
"r_28","0","1000cp","2021Q2","57.5"
"r_28","1","1000cp","2021Q2","(3.0)"
"r_28","2","1000cp","2021Q2","16.4"
"r_28","2_1","1000cp","2021Q2","10.1"
"r_28","3","1000cp","2021Q2","25.2"
"r_28","4","1000cp","2021Q2","12.8"