RevisionColumn,periods,Units,NUTS,SILC_Age,GenderID,ValueColumn
"r_2","2008","perc_pop_fig","BG","0","0","40"
"r_2","2009","perc_pop_fig","BG","0","0","38.8"
"r_2","2010","perc_pop_fig","BG","0","0","40.8"
"r_2","2011","perc_pop_fig","BG","0","0","41.7"
"r_2","2012","perc_pop_fig","BG","0","0","41.8"
"r_2","2013","perc_pop_fig","BG","0","0","41.8"
"r_2","2014","perc_pop_fig","BG","0","0","46.2"
"r_2","2008","perc_pop_fig","BG","0","1","38.7"
"r_2","2009","perc_pop_fig","BG","0","1","36.8"
"r_2","2010","perc_pop_fig","BG","0","1","38.6"
"r_2","2011","perc_pop_fig","BG","0","1","39.9"
"r_2","2012","perc_pop_fig","BG","0","1","39.8"
"r_2","2013","perc_pop_fig","BG","0","1","40.4"
"r_2","2014","perc_pop_fig","BG","0","1","44.6"
"r_2","2008","perc_pop_fig","BG","0","2","41.2"
"r_2","2009","perc_pop_fig","BG","0","2","40.6"
"r_2","2010","perc_pop_fig","BG","0","2","42.8"
"r_2","2011","perc_pop_fig","BG","0","2","43.3"
"r_2","2012","perc_pop_fig","BG","0","2","43.7"
"r_2","2013","perc_pop_fig","BG","0","2","43.1"
"r_2","2014","perc_pop_fig","BG","0","2","47.8"
"r_2","2008","perc_pop_fig","BG","1","0","36.3"
"r_2","2009","perc_pop_fig","BG","1","0","34.8"
"r_2","2010","perc_pop_fig","BG","1","0","39"
"r_2","2011","perc_pop_fig","BG","1","0","40.5"
"r_2","2012","perc_pop_fig","BG","1","0","40.5"
"r_2","2013","perc_pop_fig","BG","1","0","42.2"
"r_2","2014","perc_pop_fig","BG","1","0","45.8"
"r_2","2008","perc_pop_fig","BG","2","0","31"
"r_2","2009","perc_pop_fig","BG","2","0","28.8"
"r_2","2010","perc_pop_fig","BG","2","0","30.9"
"r_2","2011","perc_pop_fig","BG","2","0","31.9"
"r_2","2012","perc_pop_fig","BG","2","0","31.2"
"r_2","2013","perc_pop_fig","BG","2","0","31.1"
"r_2","2014","perc_pop_fig","BG","2","0","35.6"
"r_2","2008","perc_pop_fig","BG","2","1","29.7"
"r_2","2009","perc_pop_fig","BG","2","1","27.2"
"r_2","2010","perc_pop_fig","BG","2","1","29.9"
"r_2","2011","perc_pop_fig","BG","2","1","31.1"
"r_2","2012","perc_pop_fig","BG","2","1","30.3"
"r_2","2013","perc_pop_fig","BG","2","1","30.6"
"r_2","2014","perc_pop_fig","BG","2","1","35.1"
"r_2","2008","perc_pop_fig","BG","2","2","32.4"
"r_2","2009","perc_pop_fig","BG","2","2","30.4"
"r_2","2010","perc_pop_fig","BG","2","2","31.9"
"r_2","2011","perc_pop_fig","BG","2","2","32.7"
"r_2","2012","perc_pop_fig","BG","2","2","32.2"
"r_2","2013","perc_pop_fig","BG","2","2","31.7"
"r_2","2014","perc_pop_fig","BG","2","2","36"
"r_2","2008","perc_pop_fig","BG","3","0","77.6"
"r_2","2009","perc_pop_fig","BG","3","0","80.1"
"r_2","2010","perc_pop_fig","BG","3","0","79.1"
"r_2","2011","perc_pop_fig","BG","3","0","78.7"
"r_2","2012","perc_pop_fig","BG","3","0","79.4"
"r_2","2013","perc_pop_fig","BG","3","0","77.4"
"r_2","2014","perc_pop_fig","BG","3","0","81.6"
"r_2","2008","perc_pop_fig","BG","3","1","79.8"
"r_2","2009","perc_pop_fig","BG","3","1","81.4"
"r_2","2010","perc_pop_fig","BG","3","1","79.4"
"r_2","2011","perc_pop_fig","BG","3","1","79.2"
"r_2","2012","perc_pop_fig","BG","3","1","80.3"
"r_2","2013","perc_pop_fig","BG","3","1","79.1"
"r_2","2014","perc_pop_fig","BG","3","1","82.5"
"r_2","2008","perc_pop_fig","BG","3","2","76.1"
"r_2","2009","perc_pop_fig","BG","3","2","79.2"
"r_2","2010","perc_pop_fig","BG","3","2","78.8"
"r_2","2011","perc_pop_fig","BG","3","2","78.4"
"r_2","2012","perc_pop_fig","BG","3","2","78.8"
"r_2","2013","perc_pop_fig","BG","3","2","76.2"
"r_2","2014","perc_pop_fig","BG","3","2","80.9"
"r_2","2008","perc_pop_fig","BG31","0","0","44.4"
"r_2","2009","perc_pop_fig","BG31","0","0","43.6"
"r_2","2010","perc_pop_fig","BG31","0","0","46.4"
"r_2","2011","perc_pop_fig","BG31","0","0","43.6"
"r_2","2012","perc_pop_fig","BG31","0","0","45.7"
"r_2","2013","perc_pop_fig","BG31","0","0","47.1"
"r_2","2014","perc_pop_fig","BG31","0","0","50.1"
"r_2","2008","perc_pop_fig","BG31","0","1","44.1"
"r_2","2009","perc_pop_fig","BG31","0","1","43.7"
"r_2","2010","perc_pop_fig","BG31","0","1","46"
"r_2","2011","perc_pop_fig","BG31","0","1","42.6"
"r_2","2012","perc_pop_fig","BG31","0","1","42.6"
"r_2","2013","perc_pop_fig","BG31","0","1","45.5"
"r_2","2014","perc_pop_fig","BG31","0","1","47.7"
"r_2","2008","perc_pop_fig","BG31","0","2","44.8"
"r_2","2009","perc_pop_fig","BG31","0","2","43.4"
"r_2","2010","perc_pop_fig","BG31","0","2","46.7"
"r_2","2011","perc_pop_fig","BG31","0","2","44.5"
"r_2","2012","perc_pop_fig","BG31","0","2","48.5"
"r_2","2013","perc_pop_fig","BG31","0","2","48.6"
"r_2","2014","perc_pop_fig","BG31","0","2","52.3"
"r_2","2008","perc_pop_fig","BG311","0","0","53.2"
"r_2","2009","perc_pop_fig","BG311","0","0","50"
"r_2","2010","perc_pop_fig","BG311","0","0","46.4"
"r_2","2011","perc_pop_fig","BG311","0","0","51.2"
"r_2","2012","perc_pop_fig","BG311","0","0","56.3"
"r_2","2013","perc_pop_fig","BG311","0","0","55.4"
"r_2","2014","perc_pop_fig","BG311","0","0","60.4"
"r_2","2008","perc_pop_fig","BG311","0","1","53.3"
"r_2","2009","perc_pop_fig","BG311","0","1","50.3"
"r_2","2010","perc_pop_fig","BG311","0","1","43.2"
"r_2","2011","perc_pop_fig","BG311","0","1","49.5"
"r_2","2012","perc_pop_fig","BG311","0","1","50.3"
"r_2","2013","perc_pop_fig","BG311","0","1","51.9"
"r_2","2014","perc_pop_fig","BG311","0","1","60.4"
"r_2","2008","perc_pop_fig","BG311","0","2","53.1"
"r_2","2009","perc_pop_fig","BG311","0","2","49.7"
"r_2","2010","perc_pop_fig","BG311","0","2","49.2"
"r_2","2011","perc_pop_fig","BG311","0","2","52.9"
"r_2","2012","perc_pop_fig","BG311","0","2","61.3"
"r_2","2013","perc_pop_fig","BG311","0","2","58.5"
"r_2","2014","perc_pop_fig","BG311","0","2","60.4"
"r_2","2008","perc_pop_fig","BG313","0","0","41.9"
"r_2","2009","perc_pop_fig","BG313","0","0","42.3"
"r_2","2010","perc_pop_fig","BG313","0","0","42.6"
"r_2","2011","perc_pop_fig","BG313","0","0","34.6"
"r_2","2012","perc_pop_fig","BG313","0","0","44"
"r_2","2013","perc_pop_fig","BG313","0","0","46.1"
"r_2","2014","perc_pop_fig","BG313","0","0","47.9"
"r_2","2008","perc_pop_fig","BG313","0","1","41"
"r_2","2009","perc_pop_fig","BG313","0","1","39.4"
"r_2","2010","perc_pop_fig","BG313","0","1","39.5"
"r_2","2011","perc_pop_fig","BG313","0","1","31.2"
"r_2","2012","perc_pop_fig","BG313","0","1","39.9"
"r_2","2013","perc_pop_fig","BG313","0","1","47.3"
"r_2","2014","perc_pop_fig","BG313","0","1","46.1"
"r_2","2008","perc_pop_fig","BG313","0","2","42.7"
"r_2","2009","perc_pop_fig","BG313","0","2","44.7"
"r_2","2010","perc_pop_fig","BG313","0","2","45.2"
"r_2","2011","perc_pop_fig","BG313","0","2","37.7"
"r_2","2012","perc_pop_fig","BG313","0","2","47.7"
"r_2","2013","perc_pop_fig","BG313","0","2","45"
"r_2","2014","perc_pop_fig","BG313","0","2","49.6"
"r_2","2008","perc_pop_fig","BG315","0","0","38.7"
"r_2","2009","perc_pop_fig","BG315","0","0","44.9"
"r_2","2010","perc_pop_fig","BG315","0","0","51.4"
"r_2","2011","perc_pop_fig","BG315","0","0","42.2"
"r_2","2012","perc_pop_fig","BG315","0","0","44.6"
"r_2","2013","perc_pop_fig","BG315","0","0","39.3"
"r_2","2014","perc_pop_fig","BG315","0","0","50.5"
"r_2","2008","perc_pop_fig","BG315","0","1","34.4"
"r_2","2009","perc_pop_fig","BG315","0","1","44"
"r_2","2010","perc_pop_fig","BG315","0","1","52.9"
"r_2","2011","perc_pop_fig","BG315","0","1","40.1"
"r_2","2012","perc_pop_fig","BG315","0","1","40.9"
"r_2","2013","perc_pop_fig","BG315","0","1","37"
"r_2","2014","perc_pop_fig","BG315","0","1","48.4"
"r_2","2008","perc_pop_fig","BG315","0","2","42.9"
"r_2","2009","perc_pop_fig","BG315","0","2","45.7"
"r_2","2010","perc_pop_fig","BG315","0","2","50.1"
"r_2","2011","perc_pop_fig","BG315","0","2","44.1"
"r_2","2012","perc_pop_fig","BG315","0","2","47.8"
"r_2","2013","perc_pop_fig","BG315","0","2","41.5"
"r_2","2014","perc_pop_fig","BG315","0","2","52.3"
"r_2","2008","perc_pop_fig","BG312","0","0","47.5"
"r_2","2009","perc_pop_fig","BG312","0","0","42.6"
"r_2","2010","perc_pop_fig","BG312","0","0","45"
"r_2","2011","perc_pop_fig","BG312","0","0","48.1"
"r_2","2012","perc_pop_fig","BG312","0","0","45"
"r_2","2013","perc_pop_fig","BG312","0","0","50.2"
"r_2","2014","perc_pop_fig","BG312","0","0","44.1"
"r_2","2008","perc_pop_fig","BG312","0","1","47.6"
"r_2","2009","perc_pop_fig","BG312","0","1","45.5"
"r_2","2010","perc_pop_fig","BG312","0","1","42.8"
"r_2","2011","perc_pop_fig","BG312","0","1","48.1"
"r_2","2012","perc_pop_fig","BG312","0","1","42.8"
"r_2","2013","perc_pop_fig","BG312","0","1","51.5"
"r_2","2014","perc_pop_fig","BG312","0","1","43.9"
"r_2","2008","perc_pop_fig","BG312","0","2","47.4"
"r_2","2009","perc_pop_fig","BG312","0","2","39.7"
"r_2","2010","perc_pop_fig","BG312","0","2","47.2"
"r_2","2011","perc_pop_fig","BG312","0","2","48"
"r_2","2012","perc_pop_fig","BG312","0","2","47.2"
"r_2","2013","perc_pop_fig","BG312","0","2","49"
"r_2","2014","perc_pop_fig","BG312","0","2","44.3"
"r_2","2008","perc_pop_fig","BG314","0","0","42.4"
"r_2","2009","perc_pop_fig","BG314","0","0","43"
"r_2","2010","perc_pop_fig","BG314","0","0","48.5"
"r_2","2011","perc_pop_fig","BG314","0","0","43.8"
"r_2","2012","perc_pop_fig","BG314","0","0","43.9"
"r_2","2013","perc_pop_fig","BG314","0","0","40.9"
"r_2","2014","perc_pop_fig","BG314","0","0","46.8"
"r_2","2008","perc_pop_fig","BG314","0","1","44.3"
"r_2","2009","perc_pop_fig","BG314","0","1","43.3"
"r_2","2010","perc_pop_fig","BG314","0","1","50.3"
"r_2","2011","perc_pop_fig","BG314","0","1","45"
"r_2","2012","perc_pop_fig","BG314","0","1","42.7"
"r_2","2013","perc_pop_fig","BG314","0","1","37.9"
"r_2","2014","perc_pop_fig","BG314","0","1","41.7"
"r_2","2008","perc_pop_fig","BG314","0","2","40.6"
"r_2","2009","perc_pop_fig","BG314","0","2","42.6"
"r_2","2010","perc_pop_fig","BG314","0","2","46.9"
"r_2","2011","perc_pop_fig","BG314","0","2","42.7"
"r_2","2012","perc_pop_fig","BG314","0","2","45"
"r_2","2013","perc_pop_fig","BG314","0","2","43.8"
"r_2","2014","perc_pop_fig","BG314","0","2","51.6"
"r_2","2008","perc_pop_fig","BG32","0","0","44.4"
"r_2","2009","perc_pop_fig","BG32","0","0","38.3"
"r_2","2010","perc_pop_fig","BG32","0","0","46.9"
"r_2","2011","perc_pop_fig","BG32","0","0","45.7"
"r_2","2012","perc_pop_fig","BG32","0","0","44.4"
"r_2","2013","perc_pop_fig","BG32","0","0","42.6"
"r_2","2014","perc_pop_fig","BG32","0","0","48.6"
"r_2","2008","perc_pop_fig","BG32","0","1","44.7"
"r_2","2009","perc_pop_fig","BG32","0","1","34.4"
"r_2","2010","perc_pop_fig","BG32","0","1","42.6"
"r_2","2011","perc_pop_fig","BG32","0","1","43.6"
"r_2","2012","perc_pop_fig","BG32","0","1","41.6"
"r_2","2013","perc_pop_fig","BG32","0","1","40"
"r_2","2014","perc_pop_fig","BG32","0","1","47.6"
"r_2","2008","perc_pop_fig","BG32","0","2","44.2"
"r_2","2009","perc_pop_fig","BG32","0","2","42"
"r_2","2010","perc_pop_fig","BG32","0","2","51"
"r_2","2011","perc_pop_fig","BG32","0","2","47.7"
"r_2","2012","perc_pop_fig","BG32","0","2","47.1"
"r_2","2013","perc_pop_fig","BG32","0","2","45.3"
"r_2","2014","perc_pop_fig","BG32","0","2","49.6"
"r_2","2008","perc_pop_fig","BG321","0","0","49.3"
"r_2","2009","perc_pop_fig","BG321","0","0","38.4"
"r_2","2010","perc_pop_fig","BG321","0","0","49.4"
"r_2","2011","perc_pop_fig","BG321","0","0","44.6"
"r_2","2012","perc_pop_fig","BG321","0","0","44.3"
"r_2","2013","perc_pop_fig","BG321","0","0","42.9"
"r_2","2014","perc_pop_fig","BG321","0","0","49.9"
"r_2","2008","perc_pop_fig","BG321","0","1","49.9"
"r_2","2009","perc_pop_fig","BG321","0","1","34.9"
"r_2","2010","perc_pop_fig","BG321","0","1","44.4"
"r_2","2011","perc_pop_fig","BG321","0","1","44.2"
"r_2","2012","perc_pop_fig","BG321","0","1","41.1"
"r_2","2013","perc_pop_fig","BG321","0","1","42"
"r_2","2014","perc_pop_fig","BG321","0","1","50"
"r_2","2008","perc_pop_fig","BG321","0","2","48.6"
"r_2","2009","perc_pop_fig","BG321","0","2","41.6"
"r_2","2010","perc_pop_fig","BG321","0","2","53.7"
"r_2","2011","perc_pop_fig","BG321","0","2","45"
"r_2","2012","perc_pop_fig","BG321","0","2","47.2"
"r_2","2013","perc_pop_fig","BG321","0","2","43.7"
"r_2","2014","perc_pop_fig","BG321","0","2","49.8"
"r_2","2008","perc_pop_fig","BG322","0","0","47.3"
"r_2","2009","perc_pop_fig","BG322","0","0","35.6"
"r_2","2010","perc_pop_fig","BG322","0","0","39"
"r_2","2011","perc_pop_fig","BG322","0","0","45.7"
"r_2","2012","perc_pop_fig","BG322","0","0","54.2"
"r_2","2013","perc_pop_fig","BG322","0","0","59.8"
"r_2","2014","perc_pop_fig","BG322","0","0","60.2"
"r_2","2008","perc_pop_fig","BG322","0","1","47.7"
"r_2","2009","perc_pop_fig","BG322","0","1","27.2"
"r_2","2010","perc_pop_fig","BG322","0","1","31.7"
"r_2","2011","perc_pop_fig","BG322","0","1","41.5"
"r_2","2012","perc_pop_fig","BG322","0","1","51.8"
"r_2","2013","perc_pop_fig","BG322","0","1","60.1"
"r_2","2014","perc_pop_fig","BG322","0","1","62.9"
"r_2","2008","perc_pop_fig","BG322","0","2","47"
"r_2","2009","perc_pop_fig","BG322","0","2","43.3"
"r_2","2010","perc_pop_fig","BG322","0","2","46.2"
"r_2","2011","perc_pop_fig","BG322","0","2","50"
"r_2","2012","perc_pop_fig","BG322","0","2","56.4"
"r_2","2013","perc_pop_fig","BG322","0","2","59.5"
"r_2","2014","perc_pop_fig","BG322","0","2","58.2"
"r_2","2008","perc_pop_fig","BG324","0","0","40.3"
"r_2","2009","perc_pop_fig","BG324","0","0","38.3"
"r_2","2010","perc_pop_fig","BG324","0","0","52.2"
"r_2","2011","perc_pop_fig","BG324","0","0","54.7"
"r_2","2012","perc_pop_fig","BG324","0","0","41.6"
"r_2","2013","perc_pop_fig","BG324","0","0","42.8"
"r_2","2014","perc_pop_fig","BG324","0","0","34.7"
"r_2","2008","perc_pop_fig","BG324","0","1","40.6"
"r_2","2009","perc_pop_fig","BG324","0","1","35"
"r_2","2010","perc_pop_fig","BG324","0","1","47"
"r_2","2011","perc_pop_fig","BG324","0","1","53"
"r_2","2012","perc_pop_fig","BG324","0","1","42.2"
"r_2","2013","perc_pop_fig","BG324","0","1","43.3"
"r_2","2014","perc_pop_fig","BG324","0","1","34.5"
"r_2","2008","perc_pop_fig","BG324","0","2","40"
"r_2","2009","perc_pop_fig","BG324","0","2","42"
"r_2","2010","perc_pop_fig","BG324","0","2","57.5"
"r_2","2011","perc_pop_fig","BG324","0","2","56.6"
"r_2","2012","perc_pop_fig","BG324","0","2","41"
"r_2","2013","perc_pop_fig","BG324","0","2","42.4"
"r_2","2014","perc_pop_fig","BG324","0","2","34.9"
"r_2","2008","perc_pop_fig","BG323","0","0","35"
"r_2","2009","perc_pop_fig","BG323","0","0","38.1"
"r_2","2010","perc_pop_fig","BG323","0","0","38.8"
"r_2","2011","perc_pop_fig","BG323","0","0","37.6"
"r_2","2012","perc_pop_fig","BG323","0","0","39.2"
"r_2","2013","perc_pop_fig","BG323","0","0","36.9"
"r_2","2014","perc_pop_fig","BG323","0","0","43.3"
"r_2","2008","perc_pop_fig","BG323","0","1","33.9"
"r_2","2009","perc_pop_fig","BG323","0","1","35.5"
"r_2","2010","perc_pop_fig","BG323","0","1","35.2"
"r_2","2011","perc_pop_fig","BG323","0","1","35.7"
"r_2","2012","perc_pop_fig","BG323","0","1","37.5"
"r_2","2013","perc_pop_fig","BG323","0","1","32"
"r_2","2014","perc_pop_fig","BG323","0","1","39.8"
"r_2","2008","perc_pop_fig","BG323","0","2","36.2"
"r_2","2009","perc_pop_fig","BG323","0","2","40.4"
"r_2","2010","perc_pop_fig","BG323","0","2","42.1"
"r_2","2011","perc_pop_fig","BG323","0","2","39.3"
"r_2","2012","perc_pop_fig","BG323","0","2","40.9"
"r_2","2013","perc_pop_fig","BG323","0","2","42"
"r_2","2014","perc_pop_fig","BG323","0","2","46.5"
"r_2","2008","perc_pop_fig","BG325","0","0","38.3"
"r_2","2009","perc_pop_fig","BG325","0","0","39.2"
"r_2","2010","perc_pop_fig","BG325","0","0","53.6"
"r_2","2011","perc_pop_fig","BG325","0","0","49.7"
"r_2","2012","perc_pop_fig","BG325","0","0","37.9"
"r_2","2013","perc_pop_fig","BG325","0","0","39.4"
"r_2","2014","perc_pop_fig","BG325","0","0","53.8"
"r_2","2008","perc_pop_fig","BG325","0","1","37.3"
"r_2","2009","perc_pop_fig","BG325","0","1","35.1"
"r_2","2010","perc_pop_fig","BG325","0","1","49.3"
"r_2","2011","perc_pop_fig","BG325","0","1","47.8"
"r_2","2012","perc_pop_fig","BG325","0","1","37.5"
"r_2","2013","perc_pop_fig","BG325","0","1","38.5"
"r_2","2014","perc_pop_fig","BG325","0","1","53.4"
"r_2","2008","perc_pop_fig","BG325","0","2","39.3"
"r_2","2009","perc_pop_fig","BG325","0","2","43"
"r_2","2010","perc_pop_fig","BG325","0","2","57.5"
"r_2","2011","perc_pop_fig","BG325","0","2","51.9"
"r_2","2012","perc_pop_fig","BG325","0","2","38.4"
"r_2","2013","perc_pop_fig","BG325","0","2","40.7"
"r_2","2014","perc_pop_fig","BG325","0","2","54.2"
"r_2","2008","perc_pop_fig","BG33","0","0","31.7"
"r_2","2009","perc_pop_fig","BG33","0","0","40.6"
"r_2","2010","perc_pop_fig","BG33","0","0","42.9"
"r_2","2011","perc_pop_fig","BG33","0","0","42.1"
"r_2","2012","perc_pop_fig","BG33","0","0","42.2"
"r_2","2013","perc_pop_fig","BG33","0","0","42.2"
"r_2","2014","perc_pop_fig","BG33","0","0","47"
"r_2","2008","perc_pop_fig","BG33","0","1","31.1"
"r_2","2009","perc_pop_fig","BG33","0","1","38.8"
"r_2","2010","perc_pop_fig","BG33","0","1","41"
"r_2","2011","perc_pop_fig","BG33","0","1","39.6"
"r_2","2012","perc_pop_fig","BG33","0","1","41"
"r_2","2013","perc_pop_fig","BG33","0","1","42"
"r_2","2014","perc_pop_fig","BG33","0","1","45.7"
"r_2","2008","perc_pop_fig","BG33","0","2","32.3"
"r_2","2009","perc_pop_fig","BG33","0","2","42.3"
"r_2","2010","perc_pop_fig","BG33","0","2","44.7"
"r_2","2011","perc_pop_fig","BG33","0","2","44.5"
"r_2","2012","perc_pop_fig","BG33","0","2","43.3"
"r_2","2013","perc_pop_fig","BG33","0","2","42.4"
"r_2","2014","perc_pop_fig","BG33","0","2","48.2"
"r_2","2008","perc_pop_fig","BG331","0","0","35.1"
"r_2","2009","perc_pop_fig","BG331","0","0","43.6"
"r_2","2010","perc_pop_fig","BG331","0","0","39.3"
"r_2","2011","perc_pop_fig","BG331","0","0","42.4"
"r_2","2012","perc_pop_fig","BG331","0","0","42.9"
"r_2","2013","perc_pop_fig","BG331","0","0","42.9"
"r_2","2014","perc_pop_fig","BG331","0","0","50.4"
"r_2","2008","perc_pop_fig","BG331","0","1","32.8"
"r_2","2009","perc_pop_fig","BG331","0","1","39.6"
"r_2","2010","perc_pop_fig","BG331","0","1","36.9"
"r_2","2011","perc_pop_fig","BG331","0","1","39.2"
"r_2","2012","perc_pop_fig","BG331","0","1","41.2"
"r_2","2013","perc_pop_fig","BG331","0","1","43.8"
"r_2","2014","perc_pop_fig","BG331","0","1","49.4"
"r_2","2008","perc_pop_fig","BG331","0","2","37.1"
"r_2","2009","perc_pop_fig","BG331","0","2","47.1"
"r_2","2010","perc_pop_fig","BG331","0","2","41.4"
"r_2","2011","perc_pop_fig","BG331","0","2","45.5"
"r_2","2012","perc_pop_fig","BG331","0","2","44.6"
"r_2","2013","perc_pop_fig","BG331","0","2","42.1"
"r_2","2014","perc_pop_fig","BG331","0","2","51.3"
"r_2","2008","perc_pop_fig","BG332","0","0","33.2"
"r_2","2009","perc_pop_fig","BG332","0","0","36.9"
"r_2","2010","perc_pop_fig","BG332","0","0","44.3"
"r_2","2011","perc_pop_fig","BG332","0","0","42.4"
"r_2","2012","perc_pop_fig","BG332","0","0","36.2"
"r_2","2013","perc_pop_fig","BG332","0","0","36.6"
"r_2","2014","perc_pop_fig","BG332","0","0","37.6"
"r_2","2008","perc_pop_fig","BG332","0","1","31.6"
"r_2","2009","perc_pop_fig","BG332","0","1","33"
"r_2","2010","perc_pop_fig","BG332","0","1","44.1"
"r_2","2011","perc_pop_fig","BG332","0","1","41.3"
"r_2","2012","perc_pop_fig","BG332","0","1","35.8"
"r_2","2013","perc_pop_fig","BG332","0","1","34.7"
"r_2","2014","perc_pop_fig","BG332","0","1","37.4"
"r_2","2008","perc_pop_fig","BG332","0","2","34.8"
"r_2","2009","perc_pop_fig","BG332","0","2","40.6"
"r_2","2010","perc_pop_fig","BG332","0","2","44.4"
"r_2","2011","perc_pop_fig","BG332","0","2","43.4"
"r_2","2012","perc_pop_fig","BG332","0","2","36.6"
