RevisionColumn,SILC_Age,GenderID,Units,periods,ValueColumn
"r_2","12","0","perc_pop_fig","2008","30.3"
"r_2","12","0","perc_pop_fig","2009","34.6"
"r_2","12","0","perc_pop_fig","2010","28.7"
"r_2","12","0","perc_pop_fig","2011","27.8"
"r_2","12","0","perc_pop_fig","2012","25.6"
"r_2","12","0","perc_pop_fig","2013","25.6"
"r_2","12","0","perc_pop_fig","2014","20.8"
"r_2","12","1","perc_pop_fig","2008","24.5"
"r_2","12","1","perc_pop_fig","2009","27.5"
"r_2","12","1","perc_pop_fig","2010","22"
"r_2","12","1","perc_pop_fig","2011","21"
"r_2","12","1","perc_pop_fig","2012","19"
"r_2","12","1","perc_pop_fig","2013","20"
"r_2","12","1","perc_pop_fig","2014","17.6"
"r_2","12","2","perc_pop_fig","2008","34.5"
"r_2","12","2","perc_pop_fig","2009","39.7"
"r_2","12","2","perc_pop_fig","2010","33.4"
"r_2","12","2","perc_pop_fig","2011","32.7"
"r_2","12","2","perc_pop_fig","2012","30.5"
"r_2","12","2","perc_pop_fig","2013","29.6"
"r_2","12","2","perc_pop_fig","2014","23.1"
"r_2","10","0","perc_pop_fig","2008","40.4"
"r_2","10","0","perc_pop_fig","2009","47.1"
"r_2","10","0","perc_pop_fig","2010","38.4"
"r_2","10","0","perc_pop_fig","2011","38.7"
"r_2","10","0","perc_pop_fig","2012","34.7"
"r_2","10","0","perc_pop_fig","2013","30.9"
"r_2","10","0","perc_pop_fig","2014","27.1"
"r_2","10","1","perc_pop_fig","2008","29.6"
"r_2","10","1","perc_pop_fig","2009","37.5"
"r_2","10","1","perc_pop_fig","2010","28"
"r_2","10","1","perc_pop_fig","2011","26.4"
"r_2","10","1","perc_pop_fig","2012","22.6"
"r_2","10","1","perc_pop_fig","2013","22.6"
"r_2","10","1","perc_pop_fig","2014","21.9"
"r_2","10","2","perc_pop_fig","2008","47.1"
"r_2","10","2","perc_pop_fig","2009","53"
"r_2","10","2","perc_pop_fig","2010","44.7"
"r_2","10","2","perc_pop_fig","2011","46.2"
"r_2","10","2","perc_pop_fig","2012","42"
"r_2","10","2","perc_pop_fig","2013","35.9"
"r_2","10","2","perc_pop_fig","2014","30.4"
"r_2","5","0","perc_pop_fig","2008","18.6"
"r_2","5","0","perc_pop_fig","2009","17.8"
"r_2","5","0","perc_pop_fig","2010","18.1"
"r_2","5","0","perc_pop_fig","2011","20.4"
"r_2","5","0","perc_pop_fig","2012","19.7"
"r_2","5","0","perc_pop_fig","2013","19.4"
"r_2","5","0","perc_pop_fig","2014","22.1"
"r_2","5","1","perc_pop_fig","2008","18.5"
"r_2","5","1","perc_pop_fig","2009","17.7"
"r_2","5","1","perc_pop_fig","2010","18.2"
"r_2","5","1","perc_pop_fig","2011","20.7"
"r_2","5","1","perc_pop_fig","2012","19.6"
"r_2","5","1","perc_pop_fig","2013","19.6"
"r_2","5","1","perc_pop_fig","2014","21.8"
"r_2","5","2","perc_pop_fig","2008","18.7"
"r_2","5","2","perc_pop_fig","2009","17.8"
"r_2","5","2","perc_pop_fig","2010","18"
"r_2","5","2","perc_pop_fig","2011","20.1"
"r_2","5","2","perc_pop_fig","2012","19.7"
"r_2","5","2","perc_pop_fig","2013","19.1"
"r_2","5","2","perc_pop_fig","2014","22.4"
"r_2","11","0","perc_pop_fig","2008","19.8"
"r_2","11","0","perc_pop_fig","2009","19.7"
"r_2","11","0","perc_pop_fig","2010","19.2"
"r_2","11","0","perc_pop_fig","2011","20.8"
"r_2","11","0","perc_pop_fig","2012","20"
"r_2","11","0","perc_pop_fig","2013","20.1"
"r_2","11","0","perc_pop_fig","2014","21.3"
"r_2","11","1","perc_pop_fig","2008","19.1"
"r_2","11","1","perc_pop_fig","2009","18.6"
"r_2","11","1","perc_pop_fig","2010","18.4"
"r_2","11","1","perc_pop_fig","2011","20.4"
"r_2","11","1","perc_pop_fig","2012","19.3"
"r_2","11","1","perc_pop_fig","2013","19.5"
"r_2","11","1","perc_pop_fig","2014","20.8"
"r_2","11","2","perc_pop_fig","2008","20.5"
"r_2","11","2","perc_pop_fig","2009","20.7"
"r_2","11","2","perc_pop_fig","2010","19.9"
"r_2","11","2","perc_pop_fig","2011","21.2"
"r_2","11","2","perc_pop_fig","2012","20.7"
"r_2","11","2","perc_pop_fig","2013","20.7"
"r_2","11","2","perc_pop_fig","2014","21.7"
"r_3","12","0","perc_pop_fig","2015","29"
"r_3","12","1","perc_pop_fig","2015","22.3"
"r_3","12","2","perc_pop_fig","2015","33.9"
"r_3","10","0","perc_pop_fig","2015","37.8"
"r_3","10","1","perc_pop_fig","2015","23"
"r_3","10","2","perc_pop_fig","2015","46.6"
"r_3","5","0","perc_pop_fig","2015","19.4"
"r_3","5","1","perc_pop_fig","2015","19.3"
"r_3","5","2","perc_pop_fig","2015","19.4"
"r_3","11","0","perc_pop_fig","2015","20.5"
"r_3","11","1","perc_pop_fig","2015","19.8"
"r_3","11","2","perc_pop_fig","2015","21.2"
"r_4","12","0","perc_pop_fig","2016","22.6"
"r_4","12","1","perc_pop_fig","2016","16.2"
"r_4","12","2","perc_pop_fig","2016","27.2"
"r_4","10","0","perc_pop_fig","2016","29.8"
"r_4","10","1","perc_pop_fig","2016","16.8"
"r_4","10","2","perc_pop_fig","2016","37.5"
"r_4","5","0","perc_pop_fig","2016","23"
"r_4","5","1","perc_pop_fig","2016","23.3"
"r_4","5","2","perc_pop_fig","2016","22.6"
"r_4","11","0","perc_pop_fig","2016","22.2"
"r_4","11","1","perc_pop_fig","2016","22"
"r_4","11","2","perc_pop_fig","2016","22.5"
"r_5","12","0","perc_pop_fig","2017","28.1"
"r_5","12","1","perc_pop_fig","2017","20.3"
"r_5","12","2","perc_pop_fig","2017","33.7"
"r_5","10","0","perc_pop_fig","2017","38.3"
"r_5","10","1","perc_pop_fig","2017","23.2"
"r_5","10","2","perc_pop_fig","2017","47.1"
"r_5","5","0","perc_pop_fig","2017","21.6"
"r_5","5","1","perc_pop_fig","2017","22.3"
"r_5","5","2","perc_pop_fig","2017","20.9"
"r_5","11","0","perc_pop_fig","2017","22"
"r_5","11","1","perc_pop_fig","2017","21.7"
"r_5","11","2","perc_pop_fig","2017","22.2"
"r_6","12","0","perc_pop_fig","2018","26.3"
"r_6","12","1","perc_pop_fig","2018","19.7"
"r_6","12","2","perc_pop_fig","2018","31"
"r_6","10","0","perc_pop_fig","2018","35.2"
"r_6","10","1","perc_pop_fig","2018","20.7"
"r_6","10","2","perc_pop_fig","2018","43.5"
"r_6","5","0","perc_pop_fig","2018","20.3"
"r_6","5","1","perc_pop_fig","2018","20.6"
"r_6","5","2","perc_pop_fig","2018","19.9"
"r_6","11","0","perc_pop_fig","2018","20.7"
"r_6","11","1","perc_pop_fig","2018","20.4"
"r_6","11","2","perc_pop_fig","2018","21"
"r_7","12","0","perc_pop_fig","2019","31"
"r_7","12","1","perc_pop_fig","2019","25.3"
"r_7","12","2","perc_pop_fig","2019","35"
"r_7","10","0","perc_pop_fig","2019","41.1"
"r_7","10","1","perc_pop_fig","2019","29.2"
"r_7","10","2","perc_pop_fig","2019","48"
"r_7","5","0","perc_pop_fig","2019","19.4"
"r_7","5","1","perc_pop_fig","2019","19.5"
"r_7","5","2","perc_pop_fig","2019","19.2"
"r_7","11","0","perc_pop_fig","2019","20.8"
"r_7","11","1","perc_pop_fig","2019","20.3"
"r_7","11","2","perc_pop_fig","2019","21.4"
"r_8","12","0","perc_pop_fig","2020","33.3"
"r_8","12","1","perc_pop_fig","2020","26.4"
"r_8","12","2","perc_pop_fig","2020","38.3"
"r_8","10","0","perc_pop_fig","2020","47.3"
"r_8","10","1","perc_pop_fig","2020","34.7"
"r_8","10","2","perc_pop_fig","2020","54.5"
"r_8","5","0","perc_pop_fig","2020","20.1"
"r_8","5","1","perc_pop_fig","2020","20.2"
"r_8","5","2","perc_pop_fig","2020","20"
"r_8","11","0","perc_pop_fig","2020","21.5"
"r_8","11","1","perc_pop_fig","2020","20.8"
"r_8","11","2","perc_pop_fig","2020","22.3"
"r_9","12","0","perc_pop_fig","2021","30.2"
"r_9","12","1","perc_pop_fig","2021","24"
"r_9","12","2","perc_pop_fig","2021","34.7"
"r_9","10","0","perc_pop_fig","2021","43.4"
"r_9","10","1","perc_pop_fig","2021","29.8"
"r_9","10","2","perc_pop_fig","2021","51"
"r_9","5","0","perc_pop_fig","2021","18.9"
"r_9","5","1","perc_pop_fig","2021","19"
"r_9","5","2","perc_pop_fig","2021","18.8"
"r_9","11","0","perc_pop_fig","2021","20"
"r_9","11","1","perc_pop_fig","2021","19.6"
"r_9","11","2","perc_pop_fig","2021","20.5"
"r_10","12","0","perc_pop_fig","2022","31.1"
"r_10","12","1","perc_pop_fig","2022","21.5"
"r_10","12","2","perc_pop_fig","2022","37.9"
"r_10","10","0","perc_pop_fig","2022","47.9"
"r_10","10","1","perc_pop_fig","2022","29.8"
"r_10","10","2","perc_pop_fig","2022","57.9"
"r_10","5","0","perc_pop_fig","2022","19.7"
"r_10","5","1","perc_pop_fig","2022","19.4"
"r_10","5","2","perc_pop_fig","2022","20.1"
"r_10","11","0","perc_pop_fig","2022","20.5"
"r_10","11","1","perc_pop_fig","2022","19.2"
"r_10","11","2","perc_pop_fig","2022","21.7"
"r_11","12","0","perc_pop_fig","2023","20.9"
"r_11","12","1","perc_pop_fig","2023","18"
"r_11","12","2","perc_pop_fig","2023","23"
"r_11","10","0","perc_pop_fig","2023","25.1"
"r_11","10","1","perc_pop_fig","2023","17.2"
"r_11","10","2","perc_pop_fig","2023","29.4"
"r_11","5","0","perc_pop_fig","2023","20.4"
"r_11","5","1","perc_pop_fig","2023","20.4"
"r_11","5","2","perc_pop_fig","2023","20.4"
"r_11","11","0","perc_pop_fig","2023","20.1"
"r_11","11","1","perc_pop_fig","2023","20"
"r_11","11","2","perc_pop_fig","2023","20.1"
"r_12","12","0","perc_pop_fig","2024","23"
"r_12","12","1","perc_pop_fig","2024","19.6"
"r_12","12","2","perc_pop_fig","2024","25.4"
"r_12","10","0","perc_pop_fig","2024","27.7"
"r_12","10","1","perc_pop_fig","2024","20.8"
"r_12","10","2","perc_pop_fig","2024","31.5"
"r_12","5","0","perc_pop_fig","2024","21.2"
"r_12","5","1","perc_pop_fig","2024","21.3"
"r_12","5","2","perc_pop_fig","2024","21"
"r_12","11","0","perc_pop_fig","2024","21"
"r_12","11","1","perc_pop_fig","2024","20.8"
"r_12","11","2","perc_pop_fig","2024","21.2"