RevisionColumn,SILC_HHType,Units,periods,ValueColumn
"r_2","1","perc_pop_fig","2008","9.4"
"r_2","1","perc_pop_fig","2009","10.8"
"r_2","1","perc_pop_fig","2010","12.2"
"r_2","1","perc_pop_fig","2011","12"
"r_2","1","perc_pop_fig","2012","10.3"
"r_2","1","perc_pop_fig","2013","8.3"
"r_2","1","perc_pop_fig","2014","7.6"
"r_2","12","perc_pop_fig","2008","27"
"r_2","12","perc_pop_fig","2009","17.4"
"r_2","12","perc_pop_fig","2010","22.1"
"r_2","12","perc_pop_fig","2011","13.9"
"r_2","12","perc_pop_fig","2012","20.3"
"r_2","12","perc_pop_fig","2013","17.5"
"r_2","12","perc_pop_fig","2014","31.7"
"r_2","18","perc_pop_fig","2008","4.1"
"r_2","18","perc_pop_fig","2009","3.7"
"r_2","18","perc_pop_fig","2010","3.9"
"r_2","18","perc_pop_fig","2011","4"
"r_2","18","perc_pop_fig","2012","4.2"
"r_2","18","perc_pop_fig","2013","4.3"
"r_2","18","perc_pop_fig","2014","5.3"
"r_2","17","perc_pop_fig","2008","9.3"
"r_2","17","perc_pop_fig","2009","10"
"r_2","17","perc_pop_fig","2010","10"
"r_2","17","perc_pop_fig","2011","11"
"r_2","17","perc_pop_fig","2012","9.5"
"r_2","17","perc_pop_fig","2013","9.4"
"r_2","17","perc_pop_fig","2014","12.1"
"r_2","3","perc_pop_fig","2008","4.5"
"r_2","3","perc_pop_fig","2009","4.2"
"r_2","3","perc_pop_fig","2010","4.5"
"r_2","3","perc_pop_fig","2011","4.7"
"r_2","3","perc_pop_fig","2012","4.8"
"r_2","3","perc_pop_fig","2013","4.7"
"r_2","3","perc_pop_fig","2014","5.6"
"r_2","11","perc_pop_fig","2008","9.7"
"r_2","11","perc_pop_fig","2009","10.2"
"r_2","11","perc_pop_fig","2010","10.4"
"r_2","11","perc_pop_fig","2011","11.1"
"r_2","11","perc_pop_fig","2012","9.8"
"r_2","11","perc_pop_fig","2013","9.7"
"r_2","11","perc_pop_fig","2014","12.9"
"r_3","1","perc_pop_fig","2015","7.5"
"r_3","12","perc_pop_fig","2015","21.5"
"r_3","18","perc_pop_fig","2015","5.3"
"r_3","17","perc_pop_fig","2015","9.4"
"r_3","3","perc_pop_fig","2015","5.7"
"r_3","11","perc_pop_fig","2015","9.9"
"r_4","1","perc_pop_fig","2016","15.6"
"r_4","12","perc_pop_fig","2016","33.3"
"r_4","18","perc_pop_fig","2016","7.5"
"r_4","17","perc_pop_fig","2016","13.2"
"r_4","3","perc_pop_fig","2016","8.8"
"r_4","11","perc_pop_fig","2016","14.1"
"r_5","1","perc_pop_fig","2017","10"
"r_5","12","perc_pop_fig","2017","23"
"r_5","18","perc_pop_fig","2017","6.3"
"r_5","17","perc_pop_fig","2017","12.5"
"r_5","3","perc_pop_fig","2017","6.9"
"r_5","11","perc_pop_fig","2017","12.9"
"r_6","1","perc_pop_fig","2018","11.6"
"r_6","12","perc_pop_fig","2018","13.7"
"r_6","18","perc_pop_fig","2018","5.3"
"r_6","17","perc_pop_fig","2018","13.3"
"r_6","3","perc_pop_fig","2018","6.4"
"r_6","11","perc_pop_fig","2018","13.3"
"r_7","1","perc_pop_fig","2019","12.6"
"r_7","12","perc_pop_fig","2019","23.9"
"r_7","18","perc_pop_fig","2019","5.1"
"r_7","17","perc_pop_fig","2019","10.7"
"r_7","3","perc_pop_fig","2019","6.6"
"r_7","11","perc_pop_fig","2019","11.2"
"r_8","1","perc_pop_fig","2020","12.5"
"r_8","12","perc_pop_fig","2020","23.7"
"r_8","18","perc_pop_fig","2020","4.7"
"r_8","17","perc_pop_fig","2020","12.3"
"r_8","3","perc_pop_fig","2020","6.3"
"r_8","11","perc_pop_fig","2020","12.8"
"r_9","1","perc_pop_fig","2021","13"
"r_9","12","perc_pop_fig","2021","27.3"
"r_9","18","perc_pop_fig","2021","5.2"
"r_9","17","perc_pop_fig","2021","12.3"
"r_9","3","perc_pop_fig","2021","6.8"
"r_9","11","perc_pop_fig","2021","13"
"r_10","1","perc_pop_fig","2022","12.1"
"r_10","12","perc_pop_fig","2022","22"
"r_10","18","perc_pop_fig","2022","5.2"
"r_10","17","perc_pop_fig","2022","12.1"
"r_10","3","perc_pop_fig","2022","6.8"
"r_10","11","perc_pop_fig","2022","12.6"
"r_11","1","perc_pop_fig","2023","14.5"
"r_11","12","perc_pop_fig","2023","29.4"
"r_11","18","perc_pop_fig","2023","5.6"
"r_11","17","perc_pop_fig","2023","14.4"
"r_11","3","perc_pop_fig","2023","7.8"
"r_11","11","perc_pop_fig","2023","15.1"
"r_12","1","perc_pop_fig","2024","14.9"
"r_12","12","perc_pop_fig","2024","27.6"
"r_12","18","perc_pop_fig","2024","5.9"
"r_12","17","perc_pop_fig","2024","14.7"
"r_12","3","perc_pop_fig","2024","8.3"
"r_12","11","perc_pop_fig","2024","15.5"