RevisionColumn,SILC_Activity,SILC_Age,periods,Units,ValueColumn
"r_2","1","2","2008","perc_pop_fig","25.8"
"r_2","1","2","2009","perc_pop_fig","28.9"
"r_2","1","2","2010","perc_pop_fig","33.9"
"r_2","1","2","2011","perc_pop_fig","31.8"
"r_2","1","2","2012","perc_pop_fig","31.4"
"r_2","1","2","2013","perc_pop_fig","30.1"
"r_2","1","2","2014","perc_pop_fig","20"
"r_2","1","9","2008","perc_pop_fig","25.8"
"r_2","1","9","2009","perc_pop_fig","28.8"
"r_2","1","9","2010","perc_pop_fig","33.9"
"r_2","1","9","2011","perc_pop_fig","31.8"
"r_2","1","9","2012","perc_pop_fig","31.4"
"r_2","1","9","2013","perc_pop_fig","30"
"r_2","1","9","2014","perc_pop_fig","19.9"
"r_2","1","3","2008","perc_pop_fig","25.3"
"r_2","1","3","2009","perc_pop_fig","25.6"
"r_2","1","3","2010","perc_pop_fig","31.4"
"r_2","1","3","2011","perc_pop_fig","35.2"
"r_2","1","3","2012","perc_pop_fig","26.6"
"r_2","1","3","2013","perc_pop_fig","23"
"r_2","1","3","2014","perc_pop_fig","15.3"
"r_2","2","2","2008","perc_pop_fig","54.2"
"r_2","2","2","2009","perc_pop_fig","52.9"
"r_2","2","2","2010","perc_pop_fig","57.2"
"r_2","2","2","2011","perc_pop_fig","54.5"
"r_2","2","2","2012","perc_pop_fig","55.4"
"r_2","2","2","2013","perc_pop_fig","55.7"
"r_2","2","2","2014","perc_pop_fig","45.2"
"r_2","2","9","2008","perc_pop_fig","57.5"
"r_2","2","9","2009","perc_pop_fig","55.8"
"r_2","2","9","2010","perc_pop_fig","58"
"r_2","2","9","2011","perc_pop_fig","54.4"
"r_2","2","9","2012","perc_pop_fig","54.7"
"r_2","2","9","2013","perc_pop_fig","54"
"r_2","2","9","2014","perc_pop_fig","43.4"
"r_2","2","3","2008","perc_pop_fig","61.6"
"r_2","2","3","2009","perc_pop_fig","59.4"
"r_2","2","3","2010","perc_pop_fig","59"
"r_2","2","3","2011","perc_pop_fig","54.2"
"r_2","2","3","2012","perc_pop_fig","53.9"
"r_2","2","3","2013","perc_pop_fig","51.7"
"r_2","2","3","2014","perc_pop_fig","41.2"
"r_2","3","2","2008","perc_pop_fig","67.7"
"r_2","3","2","2009","perc_pop_fig","66.3"
"r_2","3","2","2010","perc_pop_fig","74.2"
"r_2","3","2","2011","perc_pop_fig","67.9"
"r_2","3","2","2012","perc_pop_fig","66.7"
"r_2","3","2","2013","perc_pop_fig","71.4"
"r_2","3","2","2014","perc_pop_fig","58.9"
"r_2","3","9","2008","perc_pop_fig","67.8"
"r_2","3","9","2009","perc_pop_fig","66.3"
"r_2","3","9","2010","perc_pop_fig","74.2"
"r_2","3","9","2011","perc_pop_fig","68"
"r_2","3","9","2012","perc_pop_fig","66.7"
"r_2","3","9","2013","perc_pop_fig","71.4"
"r_2","3","9","2014","perc_pop_fig","59.1"
"r_2","4","2","2008","perc_pop_fig","57.8"
"r_2","4","2","2009","perc_pop_fig","48"
"r_2","4","2","2010","perc_pop_fig","52.1"
"r_2","4","2","2011","perc_pop_fig","48.6"
"r_2","4","2","2012","perc_pop_fig","48.3"
"r_2","4","2","2013","perc_pop_fig","43.6"
"r_2","4","2","2014","perc_pop_fig","32.4"
"r_2","4","9","2008","perc_pop_fig","60.6"
"r_2","4","9","2009","perc_pop_fig","56.3"
"r_2","4","9","2010","perc_pop_fig","57.2"
"r_2","4","9","2011","perc_pop_fig","52.9"
"r_2","4","9","2012","perc_pop_fig","52.6"
"r_2","4","9","2013","perc_pop_fig","49.9"
"r_2","4","9","2014","perc_pop_fig","39.5"
"r_2","4","3","2008","perc_pop_fig","61.4"
"r_2","4","3","2009","perc_pop_fig","59.3"
"r_2","4","3","2010","perc_pop_fig","59"
"r_2","4","3","2011","perc_pop_fig","54.3"
"r_2","4","3","2012","perc_pop_fig","53.8"
"r_2","4","3","2013","perc_pop_fig","51.7"
"r_2","4","3","2014","perc_pop_fig","41.1"
"r_2","5","2","2008","perc_pop_fig","39.4"
"r_2","5","2","2009","perc_pop_fig","44.8"
"r_2","5","2","2010","perc_pop_fig","45.2"
"r_2","5","2","2011","perc_pop_fig","45.1"
"r_2","5","2","2012","perc_pop_fig","47.8"
"r_2","5","2","2013","perc_pop_fig","45.2"
"r_2","5","2","2014","perc_pop_fig","36.9"
"r_2","5","9","2008","perc_pop_fig","39.7"
"r_2","5","9","2009","perc_pop_fig","45"
"r_2","5","9","2010","perc_pop_fig","45.4"
"r_2","5","9","2011","perc_pop_fig","45.1"
"r_2","5","9","2012","perc_pop_fig","48.1"
"r_2","5","9","2013","perc_pop_fig","45.2"
"r_2","5","9","2014","perc_pop_fig","36.7"
"r_2","5","3","2008","perc_pop_fig","81"
"r_2","5","3","2009","perc_pop_fig","70.2"
"r_2","5","3","2010","perc_pop_fig","62.2"
"r_2","5","3","2011","perc_pop_fig","43.6"
"r_2","5","3","2012","perc_pop_fig","61.3"
"r_2","5","3","2013","perc_pop_fig","46.8"
"r_2","5","3","2014","perc_pop_fig","28.1"
"r_3","1","2","2015","perc_pop_fig","21.9"
"r_3","1","9","2015","perc_pop_fig","21.8"
"r_3","1","3","2015","perc_pop_fig","19.5"
"r_3","2","2","2015","perc_pop_fig","48.8"
"r_3","2","9","2015","perc_pop_fig","45.5"
"r_3","2","3","2015","perc_pop_fig","41.8"
"r_3","3","2","2015","perc_pop_fig","65.2"
"r_3","3","9","2015","perc_pop_fig","65.4"
"r_3","4","2","2015","perc_pop_fig","30.8"
"r_3","4","9","2015","perc_pop_fig","39.7"
"r_3","4","3","2015","perc_pop_fig","41.6"
"r_3","5","2","2015","perc_pop_fig","40.3"
"r_3","5","9","2015","perc_pop_fig","40.2"
"r_3","5","3","2015","perc_pop_fig","39.8"
"r_4","1","2","2016","perc_pop_fig","20.3"
"r_4","1","9","2016","perc_pop_fig","20.2"
"r_4","1","3","2016","perc_pop_fig","17.5"
"r_4","2","2","2016","perc_pop_fig","47.6"
"r_4","2","9","2016","perc_pop_fig","43.7"
"r_4","2","3","2016","perc_pop_fig","39.3"
"r_4","3","2","2016","perc_pop_fig","62.9"
"r_4","3","9","2016","perc_pop_fig","63"
"r_4","4","2","2016","perc_pop_fig","29.6"
"r_4","4","9","2016","perc_pop_fig","37.4"
"r_4","4","3","2016","perc_pop_fig","39"
"r_4","5","2","2016","perc_pop_fig","41.2"
"r_4","5","9","2016","perc_pop_fig","41.3"
"r_4","5","3","2016","perc_pop_fig","45.9"
"r_5","1","2","2017","perc_pop_fig","19.8"
"r_5","1","9","2017","perc_pop_fig","19.8"
"r_5","1","3","2017","perc_pop_fig","19.3"
"r_5","2","2","2017","perc_pop_fig","44.8"
"r_5","2","9","2017","perc_pop_fig","41.9"
"r_5","2","3","2017","perc_pop_fig","38.9"
"r_5","3","2","2017","perc_pop_fig","59.5"
"r_5","3","9","2017","perc_pop_fig","60.1"
"r_5","4","2","2017","perc_pop_fig","25.7"
"r_5","4","9","2017","perc_pop_fig","36.1"
"r_5","4","3","2017","perc_pop_fig","38.1"
"r_5","5","2","2017","perc_pop_fig","40.8"
"r_5","5","9","2017","perc_pop_fig","41.5"
"r_5","5","3","2017","perc_pop_fig","67"
"r_6","1","2","2018","perc_pop_fig","11.3"
"r_6","1","9","2018","perc_pop_fig","11.5"
"r_6","1","3","2018","perc_pop_fig","17.5"
"r_6","2","2","2018","perc_pop_fig","31.5"
"r_6","2","9","2018","perc_pop_fig","32.7"
"r_6","2","3","2018","perc_pop_fig","33.9"
"r_6","3","2","2018","perc_pop_fig","44.5"
"r_6","3","9","2018","perc_pop_fig","45.2"
"r_6","4","2","2018","perc_pop_fig","20.3"
"r_6","4","9","2018","perc_pop_fig","31.2"
"r_6","4","3","2018","perc_pop_fig","33.2"
"r_6","5","2","2018","perc_pop_fig","25.8"
"r_6","5","9","2018","perc_pop_fig","26.6"
"r_6","5","3","2018","perc_pop_fig","56.8"
"r_7","1","2","2019","perc_pop_fig","11.2"
"r_7","1","9","2019","perc_pop_fig","11.3"
"r_7","1","3","2019","perc_pop_fig","14.3"
"r_7","2","2","2019","perc_pop_fig","31.4"
"r_7","2","9","2019","perc_pop_fig","30.8"
"r_7","2","3","2019","perc_pop_fig","30.3"
"r_7","3","2","2019","perc_pop_fig","44.2"
"r_7","3","9","2019","perc_pop_fig","44.9"
"r_7","4","2","2019","perc_pop_fig","20"
"r_7","4","9","2019","perc_pop_fig","28.2"
"r_7","4","3","2019","perc_pop_fig","29.6"
"r_7","5","2","2019","perc_pop_fig","26.6"
"r_7","5","9","2019","perc_pop_fig","27.6"
"r_7","5","3","2019","perc_pop_fig","50.3"
"r_8","1","2","2020","perc_pop_fig","10.5"
"r_8","1","9","2020","perc_pop_fig","10.5"
"r_8","1","3","2020","perc_pop_fig","10.7"
"r_8","2","2","2020","perc_pop_fig","33"
"r_8","2","9","2020","perc_pop_fig","31.2"
"r_8","2","3","2020","perc_pop_fig","29.7"
"r_8","3","2","2020","perc_pop_fig","47"
"r_8","3","9","2020","perc_pop_fig","47.7"
"r_8","4","2","2020","perc_pop_fig","21.2"
"r_8","4","9","2020","perc_pop_fig","27.8"
"r_8","4","3","2020","perc_pop_fig","28.9"
"r_8","5","2","2020","perc_pop_fig","27.4"
"r_8","5","9","2020","perc_pop_fig","28.4"
"r_8","5","3","2020","perc_pop_fig","52.1"