RevisionColumn,SILC_Edu,GenderID,Units,periods,ValueColumn
"r_2","1","0","perc_pop_fig","2008","18"
"r_2","1","0","perc_pop_fig","2009","16.8"
"r_2","1","0","perc_pop_fig","2010","18.2"
"r_2","1","0","perc_pop_fig","2011","26.8"
"r_2","1","0","perc_pop_fig","2012","29.9"
"r_2","1","0","perc_pop_fig","2013","32.2"
"r_2","1","0","perc_pop_fig","2014","28.3"
"r_2","2","0","perc_pop_fig","2008","3.7"
"r_2","2","0","perc_pop_fig","2009","3.6"
"r_2","2","0","perc_pop_fig","2010","4.4"
"r_2","2","0","perc_pop_fig","2011","6.3"
"r_2","2","0","perc_pop_fig","2012","7.7"
"r_2","2","0","perc_pop_fig","2013","7.5"
"r_2","2","0","perc_pop_fig","2014","7.7"
"r_2","3","0","perc_pop_fig","2008","2.1"
"r_2","3","0","perc_pop_fig","2009","2.2"
"r_2","3","0","perc_pop_fig","2010","2.2"
"r_2","3","0","perc_pop_fig","2011","2.2"
"r_2","3","0","perc_pop_fig","2012","3.3"
"r_2","3","0","perc_pop_fig","2013","3.2"
"r_2","3","0","perc_pop_fig","2014","3.3"
"r_2","1","1","perc_pop_fig","2008","16.2"
"r_2","1","1","perc_pop_fig","2009","16.9"
"r_2","1","1","perc_pop_fig","2010","17"
"r_2","1","1","perc_pop_fig","2011","26.1"
"r_2","1","1","perc_pop_fig","2012","27.8"
"r_2","1","1","perc_pop_fig","2013","32.8"
"r_2","1","1","perc_pop_fig","2014","27.9"
"r_2","2","1","perc_pop_fig","2008","3.7"
"r_2","2","1","perc_pop_fig","2009","3.4"
"r_2","2","1","perc_pop_fig","2010","4.2"
"r_2","2","1","perc_pop_fig","2011","6.4"
"r_2","2","1","perc_pop_fig","2012","8.2"
"r_2","2","1","perc_pop_fig","2013","7.7"
"r_2","2","1","perc_pop_fig","2014","8"
"r_2","3","1","perc_pop_fig","2008","1.4"
"r_2","3","1","perc_pop_fig","2009","1.7"
"r_2","3","1","perc_pop_fig","2010","1.6"
"r_2","3","1","perc_pop_fig","2011","1.8"
"r_2","3","1","perc_pop_fig","2012","4"
"r_2","3","1","perc_pop_fig","2013","3.3"
"r_2","3","1","perc_pop_fig","2014","2.8"
"r_2","1","2","perc_pop_fig","2008","19.8"
"r_2","1","2","perc_pop_fig","2009","16.7"
"r_2","1","2","perc_pop_fig","2010","19.4"
"r_2","1","2","perc_pop_fig","2011","27.5"
"r_2","1","2","perc_pop_fig","2012","31.9"
"r_2","1","2","perc_pop_fig","2013","31.5"
"r_2","1","2","perc_pop_fig","2014","28.8"
"r_2","2","2","perc_pop_fig","2008","3.6"
"r_2","2","2","perc_pop_fig","2009","3.8"
"r_2","2","2","perc_pop_fig","2010","4.5"
"r_2","2","2","perc_pop_fig","2011","6.2"
"r_2","2","2","perc_pop_fig","2012","7.1"
"r_2","2","2","perc_pop_fig","2013","7.2"
"r_2","2","2","perc_pop_fig","2014","7.4"
"r_2","3","2","perc_pop_fig","2008","2.5"
"r_2","3","2","perc_pop_fig","2009","2.5"
"r_2","3","2","perc_pop_fig","2010","2.6"
"r_2","3","2","perc_pop_fig","2011","2.5"
"r_2","3","2","perc_pop_fig","2012","2.9"
"r_2","3","2","perc_pop_fig","2013","3.2"
"r_2","3","2","perc_pop_fig","2014","3.7"
"r_3","1","0","perc_pop_fig","2015","31.8"
"r_3","2","0","perc_pop_fig","2015","6"
"r_3","3","0","perc_pop_fig","2015","3.1"
"r_3","1","1","perc_pop_fig","2015","31.7"
"r_3","2","1","perc_pop_fig","2015","6.2"
"r_3","3","1","perc_pop_fig","2015","2.6"
"r_3","1","2","perc_pop_fig","2015","32"
"r_3","2","2","perc_pop_fig","2015","5.7"
"r_3","3","2","perc_pop_fig","2015","3.5"
"r_4","1","0","perc_pop_fig","2016","31.8"
"r_4","2","0","perc_pop_fig","2016","6.6"
"r_4","3","0","perc_pop_fig","2016","3"
"r_4","1","1","perc_pop_fig","2016","30.7"
"r_4","2","1","perc_pop_fig","2016","6.6"
"r_4","3","1","perc_pop_fig","2016","3.2"
"r_4","1","2","perc_pop_fig","2016","33"
"r_4","2","2","perc_pop_fig","2016","6.6"
"r_4","3","2","perc_pop_fig","2016","2.9"
"r_5","1","0","perc_pop_fig","2017","31.8"
"r_5","2","0","perc_pop_fig","2017","5.9"
"r_5","3","0","perc_pop_fig","2017","2.2"
"r_5","1","1","perc_pop_fig","2017","30.8"
"r_5","2","1","perc_pop_fig","2017","6.9"
"r_5","3","1","perc_pop_fig","2017","2.6"
"r_5","1","2","perc_pop_fig","2017","32.7"
"r_5","2","2","perc_pop_fig","2017","4.8"
"r_5","3","2","perc_pop_fig","2017","1.8"
"r_6","1","0","perc_pop_fig","2018","25.9"
"r_6","2","0","perc_pop_fig","2018","5.2"
"r_6","3","0","perc_pop_fig","2018","1.9"
"r_6","1","1","perc_pop_fig","2018","25.1"
"r_6","2","1","perc_pop_fig","2018","5.6"
"r_6","3","1","perc_pop_fig","2018","2.4"
"r_6","1","2","perc_pop_fig","2018","26.8"
"r_6","2","2","perc_pop_fig","2018","4.8"
"r_6","3","2","perc_pop_fig","2018","1.5"
"r_7","1","0","perc_pop_fig","2019","26.5"
"r_7","2","0","perc_pop_fig","2019","5.9"
"r_7","3","0","perc_pop_fig","2019","1.8"
"r_7","1","1","perc_pop_fig","2019","24.7"
"r_7","2","1","perc_pop_fig","2019","6.3"
"r_7","3","1","perc_pop_fig","2019","1.5"
"r_7","1","2","perc_pop_fig","2019","28.5"
"r_7","2","2","perc_pop_fig","2019","5.2"
"r_7","3","2","perc_pop_fig","2019","2"
"r_8","1","0","perc_pop_fig","2020","22.9"
"r_8","2","0","perc_pop_fig","2020","5.6"
"r_8","3","0","perc_pop_fig","2020","2"
"r_8","1","1","perc_pop_fig","2020","22.4"
"r_8","2","1","perc_pop_fig","2020","5.5"
"r_8","3","1","perc_pop_fig","2020","2.1"
"r_8","1","2","perc_pop_fig","2020","23.5"
"r_8","2","2","perc_pop_fig","2020","5.6"
"r_8","3","2","perc_pop_fig","2020","1.9"