RevisionColumn,GenderID,SILC_Activity,SILC_Age,Units,periods,ValueColumn
"r_2","0","5","9","perc_pop_fig","2008","44.9"
"r_2","0","5","9","perc_pop_fig","2009","51"
"r_2","0","5","9","perc_pop_fig","2010","50.5"
"r_2","0","5","9","perc_pop_fig","2011","54.1"
"r_2","0","5","9","perc_pop_fig","2012","56.3"
"r_2","0","5","9","perc_pop_fig","2013","53.1"
"r_2","0","5","9","perc_pop_fig","2014","48.1"
"r_2","1","5","9","perc_pop_fig","2008","46.1"
"r_2","1","5","9","perc_pop_fig","2009","50"
"r_2","1","5","9","perc_pop_fig","2010","48.3"
"r_2","1","5","9","perc_pop_fig","2011","52.6"
"r_2","1","5","9","perc_pop_fig","2012","55.9"
"r_2","1","5","9","perc_pop_fig","2013","52.5"
"r_2","1","5","9","perc_pop_fig","2014","45.2"
"r_2","2","5","9","perc_pop_fig","2008","44.3"
"r_2","2","5","9","perc_pop_fig","2009","51.5"
"r_2","2","5","9","perc_pop_fig","2010","51.6"
"r_2","2","5","9","perc_pop_fig","2011","54.8"
"r_2","2","5","9","perc_pop_fig","2012","56.5"
"r_2","2","5","9","perc_pop_fig","2013","53.5"
"r_2","2","5","9","perc_pop_fig","2014","49.9"
"r_3","0","1","2","perc_pop_fig","2015","24.5"
"r_3","1","1","2","perc_pop_fig","2015","24.8"
"r_3","2","1","2","perc_pop_fig","2015","24.2"
"r_3","0","1","9","perc_pop_fig","2015","24.4"
"r_3","1","1","9","perc_pop_fig","2015","24.7"
"r_3","2","1","9","perc_pop_fig","2015","24.2"
"r_3","0","1","3","perc_pop_fig","2015","19.1"
"r_3","1","1","3","perc_pop_fig","2015","15.1"
"r_3","2","1","3","perc_pop_fig","2015","22.8"
"r_3","0","2","2","perc_pop_fig","2015","60"
"r_3","1","2","2","perc_pop_fig","2015","62.7"
"r_3","2","2","2","perc_pop_fig","2015","57.7"
"r_3","0","2","9","perc_pop_fig","2015","56.8"
"r_3","1","2","9","perc_pop_fig","2015","54.6"
"r_3","2","2","9","perc_pop_fig","2015","58.5"
"r_3","0","2","3","perc_pop_fig","2015","53.2"
"r_3","1","2","3","perc_pop_fig","2015","44.1"
"r_3","2","2","3","perc_pop_fig","2015","59.3"
"r_3","0","3","2","perc_pop_fig","2015","76.5"
"r_3","1","3","2","perc_pop_fig","2015","76.5"
"r_3","2","3","2","perc_pop_fig","2015","76.5"
"r_3","0","3","9","perc_pop_fig","2015","76.7"
"r_3","1","3","9","perc_pop_fig","2015","76.9"
"r_3","2","3","9","perc_pop_fig","2015","76.4"
"r_3","0","4","2","perc_pop_fig","2015","40.2"
"r_3","1","4","2","perc_pop_fig","2015","36"
"r_3","2","4","2","perc_pop_fig","2015","43.2"
"r_3","0","4","9","perc_pop_fig","2015","50.7"
"r_3","1","4","9","perc_pop_fig","2015","41.9"
"r_3","2","4","9","perc_pop_fig","2015","56.6"
"r_3","0","4","3","perc_pop_fig","2015","52.9"
"r_3","1","4","3","perc_pop_fig","2015","43.2"
"r_3","2","4","3","perc_pop_fig","2015","59.3"
"r_3","0","5","2","perc_pop_fig","2015","51.8"
"r_3","1","5","2","perc_pop_fig","2015","54.3"
"r_3","2","5","2","perc_pop_fig","2015","50.3"
"r_3","0","5","9","perc_pop_fig","2015","51.9"
"r_3","1","5","9","perc_pop_fig","2015","54.5"
"r_3","2","5","9","perc_pop_fig","2015","50.4"
"r_4","0","1","2","perc_pop_fig","2016","24.6"
"r_4","1","1","2","perc_pop_fig","2016","25.7"
"r_4","2","1","2","perc_pop_fig","2016","23.4"
"r_4","0","1","9","perc_pop_fig","2016","24.5"
"r_4","1","1","9","perc_pop_fig","2016","25.5"
"r_4","2","1","9","perc_pop_fig","2016","23.3"
"r_4","0","1","3","perc_pop_fig","2016","17.8"
"r_4","1","1","3","perc_pop_fig","2016","14.5"
"r_4","2","1","3","perc_pop_fig","2016","20.5"
"r_4","0","2","2","perc_pop_fig","2016","59.4"
"r_4","1","2","2","perc_pop_fig","2016","61.3"
"r_4","2","2","2","perc_pop_fig","2016","57.9"
"r_4","0","2","9","perc_pop_fig","2016","53.7"
"r_4","1","2","9","perc_pop_fig","2016","50.8"
"r_4","2","2","9","perc_pop_fig","2016","55.8"
"r_4","0","2","3","perc_pop_fig","2016","47.2"
"r_4","1","2","3","perc_pop_fig","2016","37.7"
"r_4","2","2","3","perc_pop_fig","2016","53.6"
"r_4","0","3","2","perc_pop_fig","2016","77.6"
"r_4","1","3","2","perc_pop_fig","2016","78.5"
"r_4","2","3","2","perc_pop_fig","2016","76.4"
"r_4","0","3","9","perc_pop_fig","2016","77.5"
"r_4","1","3","9","perc_pop_fig","2016","78.7"
"r_4","2","3","9","perc_pop_fig","2016","76.1"
"r_4","0","4","2","perc_pop_fig","2016","37.8"
"r_4","1","4","2","perc_pop_fig","2016","35.7"
"r_4","2","4","2","perc_pop_fig","2016","39.7"
"r_4","0","4","9","perc_pop_fig","2016","45.3"
"r_4","1","4","9","perc_pop_fig","2016","36.9"
"r_4","2","4","9","perc_pop_fig","2016","51.2"
"r_4","0","4","3","perc_pop_fig","2016","47.1"
"r_4","1","4","3","perc_pop_fig","2016","37.2"
"r_4","2","4","3","perc_pop_fig","2016","53.7"
"r_4","0","5","2","perc_pop_fig","2016","54.9"
"r_4","1","5","2","perc_pop_fig","2016","55.2"
"r_4","2","5","2","perc_pop_fig","2016","54.8"
"r_4","0","5","9","perc_pop_fig","2016","54.9"
"r_4","1","5","9","perc_pop_fig","2016","54.9"
"r_4","2","5","9","perc_pop_fig","2016","54.8"
"r_5","0","1","2","perc_pop_fig","2017","23.4"
"r_5","1","1","2","perc_pop_fig","2017","24.2"
"r_5","2","1","2","perc_pop_fig","2017","22.5"
"r_5","0","1","9","perc_pop_fig","2017","23.3"
"r_5","1","1","9","perc_pop_fig","2017","23.9"
"r_5","2","1","9","perc_pop_fig","2017","22.6"
"r_5","0","1","3","perc_pop_fig","2017","19.1"
"r_5","1","1","3","perc_pop_fig","2017","12.5"
"r_5","2","1","3","perc_pop_fig","2017","26.4"
"r_5","0","2","2","perc_pop_fig","2017","56.6"
"r_5","1","2","2","perc_pop_fig","2017","60.3"
"r_5","2","2","2","perc_pop_fig","2017","53.6"
"r_5","0","2","9","perc_pop_fig","2017","53.7"
"r_5","1","2","9","perc_pop_fig","2017","51.6"
"r_5","2","2","9","perc_pop_fig","2017","55.2"
"r_5","0","2","3","perc_pop_fig","2017","50.6"
"r_5","1","2","3","perc_pop_fig","2017","41.2"
"r_5","2","2","3","perc_pop_fig","2017","56.7"
"r_5","0","3","2","perc_pop_fig","2017","74.2"
"r_5","1","3","2","perc_pop_fig","2017","78.9"
"r_5","2","3","2","perc_pop_fig","2017","67.9"
"r_5","0","3","9","perc_pop_fig","2017","74.5"
"r_5","1","3","9","perc_pop_fig","2017","79.2"
"r_5","2","3","9","perc_pop_fig","2017","68.1"
"r_5","0","4","2","perc_pop_fig","2017","36.1"
"r_5","1","4","2","perc_pop_fig","2017","30.2"
"r_5","2","4","2","perc_pop_fig","2017","41.3"
"r_5","0","4","9","perc_pop_fig","2017","47.4"
"r_5","1","4","9","perc_pop_fig","2017","37.9"
"r_5","2","4","9","perc_pop_fig","2017","53.9"
"r_5","0","4","3","perc_pop_fig","2017","50.1"
"r_5","1","4","3","perc_pop_fig","2017","40.2"
"r_5","2","4","3","perc_pop_fig","2017","56.6"
"r_5","0","5","2","perc_pop_fig","2017","54.4"
"r_5","1","5","2","perc_pop_fig","2017","58.5"
"r_5","2","5","2","perc_pop_fig","2017","52.1"
"r_5","0","5","9","perc_pop_fig","2017","54.8"
"r_5","1","5","9","perc_pop_fig","2017","59.1"
"r_5","2","5","9","perc_pop_fig","2017","52.3"
"r_6","0","1","2","perc_pop_fig","2018","17.7"
"r_6","1","1","2","perc_pop_fig","2018","19.1"
"r_6","2","1","2","perc_pop_fig","2018","16.1"
"r_6","0","1","9","perc_pop_fig","2018","17.7"
"r_6","1","1","9","perc_pop_fig","2018","19"
"r_6","2","1","9","perc_pop_fig","2018","16.3"
"r_6","0","1","3","perc_pop_fig","2018","18.7"
"r_6","1","1","3","perc_pop_fig","2018","14.6"
"r_6","2","1","3","perc_pop_fig","2018","24.1"
"r_6","0","2","2","perc_pop_fig","2018","50.4"
"r_6","1","2","2","perc_pop_fig","2018","53.8"
"r_6","2","2","2","perc_pop_fig","2018","47.6"
"r_6","0","2","9","perc_pop_fig","2018","48.5"
"r_6","1","2","9","perc_pop_fig","2018","46"
"r_6","2","2","9","perc_pop_fig","2018","50.3"
"r_6","0","2","3","perc_pop_fig","2018","46.8"
"r_6","1","2","3","perc_pop_fig","2018","37.5"
"r_6","2","2","3","perc_pop_fig","2018","52.8"
"r_6","0","3","2","perc_pop_fig","2018","69.9"
"r_6","1","3","2","perc_pop_fig","2018","74.3"
"r_6","2","3","2","perc_pop_fig","2018","64.5"
"r_6","0","3","9","perc_pop_fig","2018","70.2"
"r_6","1","3","9","perc_pop_fig","2018","74.7"
"r_6","2","3","9","perc_pop_fig","2018","64.7"
"r_6","0","4","2","perc_pop_fig","2018","32.4"
"r_6","1","4","2","perc_pop_fig","2018","27.5"
"r_6","2","4","2","perc_pop_fig","2018","36.6"
"r_6","0","4","9","perc_pop_fig","2018","43.9"
"r_6","1","4","9","perc_pop_fig","2018","34.6"
"r_6","2","4","9","perc_pop_fig","2018","50.2"
"r_6","0","4","3","perc_pop_fig","2018","46.1"
"r_6","1","4","3","perc_pop_fig","2018","36.2"
"r_6","2","4","3","perc_pop_fig","2018","52.4"
"r_6","0","5","2","perc_pop_fig","2018","42.9"
"r_6","1","5","2","perc_pop_fig","2018","44.5"
"r_6","2","5","2","perc_pop_fig","2018","42.1"
"r_6","0","5","9","perc_pop_fig","2018","43.8"
"r_6","1","5","9","perc_pop_fig","2018","45.7"
"r_6","2","5","9","perc_pop_fig","2018","42.7"
"r_7","0","1","2","perc_pop_fig","2019","16.4"
"r_7","1","1","2","perc_pop_fig","2019","17.1"
"r_7","2","1","2","perc_pop_fig","2019","15.6"
"r_7","0","1","9","perc_pop_fig","2019","16.4"
"r_7","1","1","9","perc_pop_fig","2019","17.1"
"r_7","2","1","9","perc_pop_fig","2019","15.6"
"r_7","0","1","3","perc_pop_fig","2019","16.9"
"r_7","1","1","3","perc_pop_fig","2019","19.2"
"r_7","2","1","3","perc_pop_fig","2019","13.5"
"r_7","0","2","2","perc_pop_fig","2019","51.3"
"r_7","1","2","2","perc_pop_fig","2019","56.7"
"r_7","2","2","2","perc_pop_fig","2019","47.2"
"r_7","0","2","9","perc_pop_fig","2019","50.1"
"r_7","1","2","9","perc_pop_fig","2019","48.8"
"r_7","2","2","9","perc_pop_fig","2019","51"
"r_7","0","2","3","perc_pop_fig","2019","49.1"
"r_7","1","2","3","perc_pop_fig","2019","41"
"r_7","2","2","3","perc_pop_fig","2019","54.2"
"r_7","0","3","2","perc_pop_fig","2019","70.8"
"r_7","1","3","2","perc_pop_fig","2019","78"
"r_7","2","3","2","perc_pop_fig","2019","62.5"
"r_7","0","3","9","perc_pop_fig","2019","71"
"r_7","1","3","9","perc_pop_fig","2019","78.1"
"r_7","2","3","9","perc_pop_fig","2019","62.8"
"r_7","0","4","2","perc_pop_fig","2019","37.9"
"r_7","1","4","2","perc_pop_fig","2019","33.5"
"r_7","2","4","2","perc_pop_fig","2019","41.6"
"r_7","0","4","9","perc_pop_fig","2019","46.9"
"r_7","1","4","9","perc_pop_fig","2019","38.8"
"r_7","2","4","9","perc_pop_fig","2019","52.3"
"r_7","0","4","3","perc_pop_fig","2019","48.5"
"r_7","1","4","3","perc_pop_fig","2019","39.8"
"r_7","2","4","3","perc_pop_fig","2019","53.9"
"r_7","0","5","2","perc_pop_fig","2019","43"
"r_7","1","5","2","perc_pop_fig","2019","45.3"
"r_7","2","5","2","perc_pop_fig","2019","41.8"
"r_7","0","5","9","perc_pop_fig","2019","44"
"r_7","1","5","9","perc_pop_fig","2019","46.9"
"r_7","2","5","9","perc_pop_fig","2019","42.5"
"r_8","0","1","2","perc_pop_fig","2020","15.4"
"r_8","1","1","2","perc_pop_fig","2020","16.3"
"r_8","2","1","2","perc_pop_fig","2020","14.5"
"r_8","0","1","9","perc_pop_fig","2020","15.3"
"r_8","1","1","9","perc_pop_fig","2020","16.1"
"r_8","2","1","9","perc_pop_fig","2020","14.4"
"r_8","0","1","3","perc_pop_fig","2020","11.8"
"r_8","1","1","3","perc_pop_fig","2020","11.6"
"r_8","2","1","3","perc_pop_fig","2020","12"
"r_8","0","2","2","perc_pop_fig","2020","52.2"
"r_8","1","2","2","perc_pop_fig","2020","56.1"
"r_8","2","2","2","perc_pop_fig","2020","49.2"
"r_8","0","2","9","perc_pop_fig","2020","51.5"
"r_8","1","2","9","perc_pop_fig","2020","49.3"
"r_8","2","2","9","perc_pop_fig","2020","53.1"
"r_8","0","2","3","perc_pop_fig","2020","51"
"r_8","1","2","3","perc_pop_fig","2020","42.9"
"r_8","2","2","3","perc_pop_fig","2020","56.1"
"r_8","0","3","2","perc_pop_fig","2020","70.7"
"r_8","1","3","2","perc_pop_fig","2020","76"
"r_8","2","3","2","perc_pop_fig","2020","64.4"
"r_8","0","3","9","perc_pop_fig","2020","71.2"
"r_8","1","3","9","perc_pop_fig","2020","76.6"
"r_8","2","3","9","perc_pop_fig","2020","64.6"
"r_8","0","4","2","perc_pop_fig","2020","35.3"
"r_8","1","4","2","perc_pop_fig","2020","31.7"
"r_8","2","4","2","perc_pop_fig","2020","38.4"
"r_8","0","4","9","perc_pop_fig","2020","48.1"
"r_8","1","4","9","perc_pop_fig","2020","39.9"
"r_8","2","4","9","perc_pop_fig","2020","53.6"
"r_8","0","4","3","perc_pop_fig","2020","50.3"
"r_8","1","4","3","perc_pop_fig","2020","41.6"
"r_8","2","4","3","perc_pop_fig","2020","55.9"
"r_8","0","5","2","perc_pop_fig","2020","46.3"
"r_8","1","5","2","perc_pop_fig","2020","48"
"r_8","2","5","2","perc_pop_fig","2020","45.4"
"r_8","0","5","9","perc_pop_fig","2020","47.1"
"r_8","1","5","9","perc_pop_fig","2020","49.2"
"r_8","2","5","9","perc_pop_fig","2020","46"